"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Catalão GO","Três Rios RJ","Niquelândia GO","Pederneiras SP","Saquarema RJ","Santo Antônio de Pádua RJ","Guariba SP","Marialva PR","Pitanga PR","Bertioga SP","Vilhena RO",1100304,5377,3262,5476,3680,3255,3244,3477,4116,4182,3338
"Campo Belo do Sul SC","Dois Irmãos do Buriti MS","Tanguá RJ","Cantagalo PR","Diamante D'Oeste PR","Nazaré BA","Itapuã do Oeste RO","São Gonçalo dos Campos BA","Ministro Andreazza RO","Alta Floresta D'Oeste RO","São Miguel do Guaporé RO",1100320,4365,5129,3259,3975,4009,2098,37,2185,38,1
"Xapuri AC","Frei Paulo SE","São Geraldo da Piedade MG","Camacan BA","Peçanha MG","Isaías Coelho PI","Araponga MG","Jaquirana RS","Trairão PA","Passagem Franca do Piauí PI","Nova Mamoré RO",1100338,73,1772,2961,1896,2810,763,2283,4827,286,818
"Barra dos Coqueiros SE","Alta Floresta D'Oeste RO","Campo Belo do Sul SC","Taquarussu MS","Nova Brasilândia D'Oeste RO","Epitaciolândia AC","São Miguel do Guaporé RO","Diamante D'Oeste PR","Nova Viçosa BA","São José das Missões RS","Alvorada D'Oeste RO",1100346,1757,1,4365,5174,14,59,23,4009,2107,4993
"Bom Jesus do Tocantins PA","Porto Acre AC","Macarani BA","São Domingos do Cariri PB","Ribeirão do Largo BA","Manoel Urbano AC","Bujari AC","Trairão PA","São Bento PB","Lizarda TO","Alto Alegre dos Parecis RO",1100379,173,74,2063,1421,2154,63,56,286,1419,380
"Amaral Ferrador RS","São João do Triunfo PR","Rio Maria PA","São Sebastião do Rio Preto MG","Moeda MG","Sumidouro RJ","Irupi ES","Vale do Sol RS","Santa Rita do Pardo MS","Toritama PE","Alto Paraíso RO",1100403,4616,4255,252,3004,2732,3258,3130,5079,5167,1637
"Gandu BA","Tanguá RJ","São Francisco do Guaporé RO","Ministro Andreazza RO","São Domingos do Araguaia PA","Itamaraju BA","Itapuã do Oeste RO","Nova Ibiá BA","São Miguel do Guaporé RO","Tobias Barreto SE","Buritis RO",1100452,1962,3259,46,38,268,2012,37,2103,23,1824
"Francisco Dumont MG","Poço de José de Moura PB","São Félix de Minas MG","Ponto Chique MG","Duas Estradas PB","Senhora de Oliveira MG","Felício dos Santos MG","Igaracy PB","Matias Cardoso MG","Rio dos Bois TO","Novo Horizonte do Oeste RO",1100502,2539,1391,2955,2852,1319,3020,2526,1277,2716,421
"Mirante da Serra RO","Rio Manso MG","Santa Rita do Pardo MS","Moeda MG","Delta MG","Novo Horizonte do Sul MS","Gramado Xavier RS","Irupi ES","Amaral Ferrador RS","Sinimbu RS","Cacaulândia RO",1100601,39,2887,5167,2732,2479,5156,4788,3130,4616,5037
"Sete Quedas MS","Reserva PR","Palmital PR","Seringueiras RO","Cujubim RO","Mariluz PR","Lambari D'Oeste MT","São José do Norte RS","Cândido de Abreu PR","Herveiras RS","Campo Novo de Rondônia RO",1100700,5169,4212,4160,47,35,4119,5239,4997,3973,4795
"Foz do Jordão PR","Bonfim MG","Cerrito RS","Gaúcha do Norte MT","Cana Verde MG","Felixlândia MG","Novo São Joaquim MT","Rio Casca MG","Nioaque MS","São Francisco de Goiás GO","Candeias do Jamari RO",1100809,4033,2329,4701,5222,2372,2529,5261,2883,5153,5533
"Rio dos Índios RS","Cordislândia MG","Talismã TO","Rio Rufino SC","Barra do Quaraí RS","Guarará MG","Toledo MG","Mata RS","Grandes Rios PR","Vitória das Missões RS","Castanheiras RO",1100908,4945,2452,442,4530,4640,2567,3054,4852,4038,5097
"Cerrito RS","São Francisco de Goiás GO","Monte Alegre dos Campos RS","Novo São Joaquim MT","Rochedo MS","Crucilândia MG","Bonfim MG","Caraá RS","Cana Verde MG","Foz do Jordão PR","Chupinguaia RO",1100924,4701,5533,4860,5261,5166,2470,2329,4693,2372,4033
"São José do Norte RS","Herveiras RS","Ourilândia do Norte PA","Sumidouro RJ","Mariluz PR","Irupi ES","Reserva PR","Toritama PE","Campo Novo de Rondônia RO","Lambari D'Oeste MT","Cujubim RO",1100940,4997,4795,236,3258,4119,3130,4212,1637,31,5239
