"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Capela do Alto Alegre BA","Riachão do Poço PB","Santa Luzia do Norte AL","São Sebastião do Umbuzeiro PB","Brotas de Macaúbas BA","Juru PB","Borborema PB","Condado PB","Cordeiros BA","Ingá PB","Iguaraci PE",2606903,1910,1402,1734,1439,1882,1342,1278,1302,1935,1330
"Água Branca AL","Estrela de Alagoas AL","Capela AL","Santa Luzia do Pará PA","Castelo do Piauí PI","Alto Longá PI","Buriti dos Lopes PI","Morpará BA","Araioses MA","Pedra PE","Inajá PE",2607000,1650,1677,1667,260,721,672,703,2087,465,1587
"Riacho da Cruz RN","Olho D'Água do Piauí PI","Sebastião Leal PI","Novo Horizonte BA","Corrente PI","Bom Sucesso PB","São Lourenço do Piauí PI","Ilha das Flores SE","Solidão PE","Socorro do Piauí PI","Ingazeira PE",2607109,1191,809,874,2108,731,1274,866,1776,1627,878
"Belo Jardim PE","Valença BA","Bragança PA","Lagarto SE","União dos Palmares AL","Casa Nova BA","Jaguaquara BA","Ceará-Mirim RN","Euclides da Cunha BA","Manicoré AM","Ipojuca PE",2607208,1483,2231,175,1784,1750,1916,2035,1103,1953,113
"São Sebastião AL","Craíbas AL","Paranatama PE","Amarante do Maranhão MA","Ibateguara AL","Nova Soure BA","Filadélfia BA","Santa Brígida BA","Acauã PI","Marcação PB","Ipubi PE",2607307,1743,1674,1582,460,1682,2106,1958,2164,667,1354
"Santa Cruz do Piauí PI","Severiano Melo RN","Paraú RN","Francisco Dantas RN","Arês RN","Ribamar Fiquene MA","Igarapé do Meio MA","São José da Coroa Grande PE","Pindorama do Tocantins TO","João Dourado BA","Itacuruba PE",2607406,841,1224,1169,1118,1086,607,537,1617,408,2043
"São Vicente Ferrer PE","Olivença AL","Presidente Tancredo Neves BA","São Desidério BA","São Luís do Quitunde AL","Ourém PA","Novo Lino AL","Riachão do Bacamarte PB","Juruá AM","Jurema PE","Itaíba PE",2607505,1621,1713,2142,2178,1740,235,1709,1401,107,1560
"Nossa Senhora do Livramento MT","Morro da Garça MG","São Valério TO","Barrolândia TO","Umburatiba MG","Itagimirim BA","Vila Boa GO","Santa Teresinha PB","Itambé do Mato Dentro MG","Monjolos MG","Ilha de Itamaracá PE",2607604,5248,2747,436,333,3068,2008,5563,1417,2615,2734
"Lajedo PE","Nova Soure BA","Craíbas AL","Manaíra PB","Ouro Branco AL","Igarapé-Açu PA","Lagoa da Canoa AL","Ibateguara AL","Ipubi PE","Xexéu PE","Itambé PE",2607653,1566,2106,1674,1353,1714,204,1694,1682,1544,1649
"Utinga BA","Barro Duro PI","Pedra Mole SE","Maiquinique BA","Divisa Alegre MG","Princesa Isabel PB","Custódia PE","Itaporanga PB","Contendas do Sincorá BA","São João dos Patos MA","Itapetim PE",2607703,2230,688,1800,2068,2491,1394,1520,1332,1933,632
"Doutor Severiano RN","Pacujá CE","Saubara BA","Arneiroz CE","Central do Maranhão MA","Lajes RN","Redenção CE","Cutias AP","Solonópole CE","Deputado Irapuan Pinheiro CE","Itapissuma PE",2607752,1109,1020,2192,908,503,1148,1043,299,1058,944
"Serrolândia BA","São Pedro da Água Branca MA","Fernando Pedroza RN","São Domingos do Maranhão MA","Umbuzeiro PB","Igarapé do Meio MA","Afonso Bezerra RN","Esperantinópolis MA","Santa Inês PB","Tanque do Piauí PI","Itaquitinga PE",2607802,2202,638,1116,624,1461,537,1077,517,1411,881
"São Gonçalo RJ","Guarulhos SP","Curitiba PR","Nova Iguaçu RJ","Duque de Caxias RJ","Feira de Santana BA","Ribeirão das Neves MG","Brasília DF","Belo Horizonte MG","Teresina PI","Jaboatão dos Guararapes PE",2607901,3247,3479,4005,3224,3199,1957,2880,5565,2309,882
"Damião PB","Angelim PE","Salgadinho PE","Capim PB","Massaranduba PB","Feira Nova do Maranhão MA","Itatuba PB","Governador Newton Bello MA","General Sampaio CE","Porto Walter AC","Jaqueira PE",2607950,1314,1475,1601,1294,1357,519,1334,530,952,66
"Areia PB","Branquinha AL","Teofilândia BA","Ubaitaba BA","Nossa Senhora da Glória SE","São José de Piranhas PB","Juruá AM","Coronel João Sá BA","Tarauacá AC","São Desidério BA","Jataúba PE",2608008,1256,1660,2216,2223,1795,1430,107,1937,72,2178
"Santa Terezinha do Tocantins TO","Santana do Seridó RN","Tenente Laurentino Cruz RN","Cruz CE","São Gonçalo do Piauí PI","Pindoretama CE","Capistrano CE","Felipe Guerra RN","São Felipe D'Oeste RO","Quixabá PB","Jatobá PE",2608057,430,1199,1230,943,855,1031,925,1115,45,1397
"Quijingue BA","Camamu BA","Conde BA","Touros RN","Paraibano MA","Canudos BA","Barra da Estiva BA","Montanhas RN","Paripiranga BA","Itagi BA","João Alfredo PE",2608107,2144,1898,1931,1233,581,1909,1861,1159,2118,2006
"Terra Nova BA","Lima Campos MA","Pinhão SE","Areia de Baraúnas PB","Cícero Dantas BA","Santa Inês BA","Pindoba AL","Brejinho RN","Caraúbas PB","Centenário TO","Joaquim Nabuco PE",2608206,2218,555,1802,1257,1923,2167,1725,1094,1295,345
"Várzea Nova BA","Juripiranga PB","Picuí PB","Ibicaraí BA","Jitaúna BA","Paulo Ramos MA","Fátima BA","Olho-D'Água do Borges RN","Saúde BA","Bonito BA","Jucati PE",2608255,2235,1341,1383,1974,2042,586,1955,1166,2193,1877
"Governador Archer MA","Tenório PB","Santa Luzia do Paruá MA","Fortuna MA","Bonito BA","Regeneração PI","Vila Nova do Piauí PI","Jitaúna BA","Marcos Parente PI","Petrolândia PE","Jupi PE",2608305,526,1458,614,523,1877,836,889,2042,790,1589
"Maraial PE","Roteiro AL","Bonfim do Piauí PI","Dirceu Arcoverde PI","Flexeiras AL","Jacaraú PB","São Vicente Ferrer PE","São Luís do Quitunde AL","Barcelona RN","Rio Real BA","Jurema PE",2608404,1571,1733,699,739,1680,1335,1621,1740,1090,2158
"Morro Cabeça no Tempo PI","Ibiracatu MG","Jaborandi BA","Nova Timboteua PA","Arauá SE","Amaturá AM","Matões do Norte MA","Santo Antônio do Retiro MG","Santa Cruz do Arari PA","Formosa da Serra Negra MA","Lagoa do Carro PE",2608453,799,2579,2032,229,1755,76,565,2947,258,521
"Presidente Sarney MA","Cabaceiras do Paraguaçu BA","Tabocas do Brejo Velho BA","Ibaretama CE","Anajatuba MA","Serrano do Maranhão MA","Faro PA","São Benedito do Rio Preto MA","Aveiro PA","Riachão PB","Lagoa de Itaenga PE",2608503,602,1887,2208,962,461,647,199,620,165,1400
"Poço Verde SE","Olho D'Água das Flores AL","Taperoá BA","Frei Miguelinho PE","Ibirapitanga BA","Envira AM","São José da Laje AL","Major Isidoro AL","Brejo do Piauí PI","Ubaíra BA","Lagoa do Ouro PE",2608602,1805,1710,2212,1529,1980,97,1738,1697,702,2222
"São José do Jacuípe BA","Coronel João Sá BA","Juruá AM","Tapauá AM","Barreiras do Piauí PI","Pajeú do Piauí PI","Arame MA","Teofilândia BA","Branquinha AL","Alagoinha do Piauí PI","Lagoa dos Gatos PE",2608701,2187,1937,107,131,687,812,466,2216,1660,670
"Condado PE","Itabaiana PB","Arês RN","Baía Formosa RN","Neópolis SE","João Dourado BA","Brejinho PE","Sapeaçu BA","Colinas MA","Paraú RN","Lagoa Grande PE",2608750,1515,1331,1086,1088,1793,2043,1491,2190,510,1169
"Itambé PE","Nova Soure BA","Craíbas AL","Manaíra PB","Xexéu PE","Canto do Buriti PI","Itagi BA","Ouro Branco AL","Igarapé-Açu PA","Ibateguara AL","Lajedo PE",2608800,1548,2106,1674,1353,1649,715,2006,1714,204,1682
"Benevides PA","Maranguape CE","Russas CE","Pacatuba CE","Pacajus CE","Horizonte CE","Marituba PA","Quixadá CE","São Gonçalo do Amarante CE","Santa Isabel do Pará PA","Limoeiro PE",2608909,172,995,1045,1018,1017,961,220,1039,1052,259
"Santo Amaro do Maranhão MA","Carinhanha BA","Alto Santo CE","Parnamirim PE","Araripe CE","Tracunhaém PE","Benjamin Constant AM","Aveiro PA","Santa Luz PI","Faro PA","Macaparana PE",2609006,618,1915,898,1583,906,1638,84,165,844,199
"Goiatins TO","Juarez Távora PB","Mar Vermelho AL","Banzaê BA","Itapitanga BA","Arraial PI","Prata do Piauí PI","Brejões BA","São Caetano de Odivelas PA","São Sebastião da Boa Vista PA","Machados PE",2609105,366,1338,1702,1859,2022,681,833,1880,267,277
"Santa Luzia do Pará PA","Monte Alegre de Sergipe SE","Carneiros AL","Gurinhém PB","Conceição PB","Ribeira do Amparo BA","Mascote BA","Água Doce do Maranhão MA","Passagem Franca MA","Lagoa Alegre PI","Manari PE",2609154,260,1791,1668,1326,1301,2152,2078,452,583,779
"Jurema PE","Dirceu Arcoverde PI","Roteiro AL","Bonfim do Piauí PI","Flexeiras AL","Barcelona RN","Jacaraú PB","Caiçara do Norte RN","Cuité de Mamanguape PB","Tamandaré PE","Maraial PE",2609204,1560,739,1733,699,1680,1090,1335,1095,1311,1632
"Pires Ferreira CE","Serra Dourada BA","Urbano Santos MA","Luís Gomes RN","Moraújo CE","Jaguaretama CE","Banabuiú CE","Pereiro CE","Ocara CE","Urucuia MG","Mirandiba PE",2609303,1033,2199,660,1151,1008,982,912,1030,1015,3073
"Coração de Jesus MG","Afogados da Ingazeira PE","Capitão Enéas MG","Francisco Sá MG","Vargem Grande do Rio Pardo MG","São Francisco MG","Riacho dos Machados MG","Guarani de Goiás GO","Cascavel CE","Nova Porteirinha MG","Moreno PE",2609402,2450,1466,2382,2540,3076,2956,2879,5420,931,2766
"Mato Verde MG","São Gonçalo do Amarante CE","Muritiba BA","Jati CE","Horizonte CE","Satuba AL","Leme do Prado MG","Conceição do Jacuípe BA","Nova Rosalândia TO","Lavandeira TO","Nazaré da Mata PE",2609501,2718,1052,2096,987,961,1744,2682,1930,394,379
"Queimados RJ","Carapicuíba SP","Serra ES","Diadema SP","Mauá SP","Parnaíba PI","São Bernardo do Campo SP","São José dos Campos SP","Magé RJ","Santo André SP","Olinda PE",2609600,3235,3388,3166,3419,3597,817,3811,3824,3213,3801
"Sítio do Mato BA","Júlio Borges PI","Cachoeira Grande MA","Miraíma CE","Choró CE","Mata Roma MA","Madeiro PI","Patis MG","Piquet Carneiro CE","Barreirinha AM","Orobó PE",2609709,2204,776,492,1003,937,562,787,2803,1032,83
"Quixeré CE","Barreira CE","Caraúbas RN","Cristópolis BA","Angical BA","Nova Olinda CE","Guaiúba CE","Bequimão MA","Inhuma PI","Carrapateira PB","Orocó PE",2609808,1042,914,1100,1942,1843,1012,957,480,761,1296
"Barra do Choça BA","Acará PA","Ipixuna do Pará PA","Tailândia PA","Pacajá PA","Garrafão do Norte PA","Rurópolis PA","Araripina PE","Senador José Porfírio PA","Atalaia do Norte AM","Ouricuri PE",2609907,1862,154,207,281,237,201,254,1477,279,80
"Icó CE","São Gabriel BA","Cedro CE","Varjota CE","Matinha MA","Santo Antônio do Tauá PA","Riachão do Jacuípe BA","Presidente Dutra BA","Marco CE","Colinas MA","Palmares PE",2610004,966,2184,935,1072,563,266,2150,2140,996,510
"Planaltino BA","Centenário TO","Santa Inês BA","Várzea do Poço BA","Saúde BA","Junco do Maranhão MA","São José da Vitória BA","Pindoba AL","Olho-D'Água do Borges RN","Ibicoara BA","Palmeirina PE",2610103,2132,345,2167,2234,2193,547,2186,1725,1166,1975
"Quebrangulo AL","Nova Esperança do Piriá PA","Dário Meira BA","São Domingos do Capim PA","Taipu RN","Itiúba BA","Joaquim Gomes AL","Borba AM","Maraã AM","Codajás AM","Panelas PE",2610202,1731,227,1945,269,1227,2027,1691,88,114,95
"Filadélfia BA","Terezinha PE","Santa Brígida BA","Acauã PI","Campo Grande do Piauí PI","Ipubi PE","Pedra Lavrada PB","Taquarana AL","Santa Cecília PB","Maribondo AL","Paranatama PE",2610301,1958,1634,2164,667,711,1544,1380,1747,1408,1701
"Hidrolândia CE","Cajari MA","Buritirama BA","Macaparana PE","Monte Alegre do Piauí PI","São Pedro do Piauí PI","Aveiro PA","Santa Quitéria do Maranhão MA","Carinhanha BA","Muquém de São Francisco BA","Parnamirim PE",2610400,960,494,1885,1568,798,871,165,615,1915,2095
"Mocajuba PA","Cândido Mendes MA","Salitre CE","Alto Alegre do Maranhão MA","Coração de Maria BA","Viçosa AL","Timbiras MA","Fartura do Piauí PI","Curuçá PA","Gentio do Ouro BA","Passira PE",2610509,223,496,1047,456,1934,1751,652,746,196,1964
"Morada Nova CE","Penedo AL","Coruripe AL","Canindé CE","Ipu CE","Zé Doca MA","Acaraú CE","Macaíba RN","Catende PE","Morros MA","Paudalho PE",2610608,1007,1722,1673,924,971,666,893,1152,1511,572
"Francisco Morato SP","Parnaíba PI","Mauá SP","Diadema SP","Iguatu CE","Camaragibe PE","Montes Claros MG","Cabo de Santo Agostinho PE","Sobral CE","Embu SP","Paulista PE",2610707,3453,817,3597,3419,967,1501,2743,1495,1057,3434
"Fonte Boa AM","Governador Newton Bello MA","Estrela de Alagoas AL","Taperoá PB","Centro Novo do Maranhão MA","Itaguaçu da Bahia BA","Damião PB","Itatuba PB","General Sampaio CE","Castelo do Piauí PI","Pedra PE",2610806,98,530,1677,1455,505,2009,1314,1334,952,721
"Sapé PB","São José de Mipibu RN","Piripiri PI","Grajaú MA","Teotônio Vilela AL","Santa Luzia MA","Sertânia PE","Camamu BA","Touros RN","Buriticupu MA","Pesqueira PE",2610905,1440,1207,830,533,1748,613,1624,1898,1233,490
"Santa Luzia do Paruá MA","Governador Archer MA","Esperantinópolis MA","Fortuna MA","São José da Coroa Grande PE","Jupi PE","João Dourado BA","Afonso Bezerra RN","Tanque do Piauí PI","Cajueiro AL","Petrolândia PE",2611002,614,526,517,523,1617,1559,2043,1077,881,1662
"Camaçari BA","Campina Grande PB","João Pessoa PB","Goiânia GO","Rio Branco AC","Teresina PI","Natal RN","São Luís MA","Aracaju SE","Campo Grande MS","Petrolina PE",2611101,1897,1293,1337,5413,67,882,1163,635,1754,5119
"Andorinha BA","Mari PB","Uruçuca BA","Pau Brasil BA","Palmeira do Piauí PI","Francisco Macedo PI","Itapebi BA","São José da Vitória BA","Canto do Buriti PI","Camocim de São Félix PE","Poção PE",2611200,1842,1355,2229,2119,813,752,2019,2186,715,1502
"São João da Ponte MG","Caraí MG","Bonito de Santa Fé PB","Macajuba BA","Riachão do Dantas SE","Joaíma MG","Serraria PB","Ipixuna AM","Gurupá PA","Prainha PA","Pombos PE",2611309,2971,2385,1275,2062,1808,2652,1446,101,203,248
"Domingos Mourão PI","Lastro PB","Arataca BA","Assis Brasil AC","Ladainha MG","Floresta do Piauí PI","Batalha PI","Mato Grosso PB","Beruri AM","Paquetá PI","Primavera PE",2611408,741,1346,1854,54,2667,748,689,1360,85,815
"Jaíba MG","Feira Grande AL","São João do Araguaia PA","São Francisco do Maranhão MA","Oliveira dos Brejinhos BA","Boquim SE","Caetés PE","Feira Nova do Maranhão MA","Nova Itarana BA","Cansanção BA","Quipapá PE",2611507,2639,1678,275,627,2111,1758,1498,519,2104,1908
"Tarrafas CE","Nordestina BA","Santa Filomena do Maranhão MA","Cravolândia BA","Nova Olinda do Maranhão MA","Sobrado PB","Afonso Cunha MA","Aiuaba CE","Socorro do Piauí PI","Afrânio PE","Quixaba PE",2611533,1061,2100,610,1940,576,1448,451,895,878,1467
"Belém PA","Belo Horizonte MG","Brasília DF","Maceió AL","Curitiba PR","Guarulhos SP","Nova Iguaçu RJ","Feira de Santana BA","São Gonçalo RJ","Goiânia GO","Recife PE",2611606,170,2309,5565,1696,4005,3479,3224,1957,3247,5413
"Trindade PE","Caatiba BA","Barcelos AM","Pauini AM","Nova Ipixuna PA","Imbé de Minas MG","Prado BA","São Gabriel da Cachoeira AM","Gilbués PI","Cupira PE","Riacho das Almas PE",2611705,1639,1886,82,121,228,2590,2139,126,756,1519
"Ribeira do Pombal BA","Princesa Isabel PB","Lagoa Grande PE","São João dos Patos MA","Sapeaçu BA","Neópolis SE","Brejinho PE","Oeiras PI","Divisa Alegre MG","Condado PE","Ribeirão PE",2611804,2153,1394,1565,632,2190,1793,1491,808,2491,1515
"Coribe BA","Poté MG","Espinosa MG","Carolina MA","Minas Novas MG","Varzelândia MG","Pequizeiro TO","Palmeiras do Tocantins TO","Cantá RR","Córrego Novo MG","Rio Formoso PE",2611903,1936,2856,2515,499,2726,3080,406,389,141,2463
"Santa Maria do Oeste PR","Beneditinos PI","Várzea da Roça BA","Ibiquera BA","Jutaí AM","Ubatã BA","Cocal de Telha PI","Porto de Pedras AL","Malhador SE","Anagé BA","Sairé PE",2612000,4239,692,2233,1979,108,2224,724,1729,1788,1840
"Feira Nova do Maranhão MA","Damião PB","São João do Araguaia PA","Angelim PE","Jaqueira PE","Heliópolis BA","Capim PB","Massaranduba PB","Coité do Nóia AL","Aramari BA","Salgadinho PE",2612109,519,1314,275,1475,1553,1971,1294,1357,1670,1853
"Santana AP","São José de Ribamar MA","Janaúba MG","Paço do Lumiar MA","Cruz das Almas BA","Camaragibe PE","Abreu E Lima PE","Santa Inês MA","Maracanaú CE","Imperatriz MA","Salgueiro PE",2612208,308,633,2641,579,1943,1501,1465,612,994,539
"Uarini AM","Caxingó PI","Paramirim BA","Aratuípe BA","Cajueiro da Praia PI","Quatipuru PA","Brasileira PI","Elesbão Veloso PI","Congonhas do Norte MG","Riachão MA","Saloá PE",2612307,134,722,2116,1855,707,250,701,743,2443,606
"Cotegipe BA","Venha-Ver RN","Altamira do Maranhão MA","São José dos Basílios MA","Lago do Junco MA","Caaporã PB","Maranhãozinho MA","Marapanim PA","Montadas PB","Boca da Mata AL","Sanharó PE",2612406,1939,1238,455,634,549,1281,561,219,1363,1659
"Serra Preta BA","Venturosa PE","Rio do Fogo RN","Nísia Floresta RN","Buriti dos Lopes PI","Governador Eugênio Barros MA","Rio do Antônio BA","Porto Alegre do Piauí PI","Iramaia BA","Malhada BA","Santa Cruz PE",2612455,2200,1643,1172,1164,703,528,2156,832,1997,2070
"Botumirim MG","São Felipe BA","Ubaí MG","Madeiro PI","Pedras de Maria da Cruz MG","Júlio Borges PI","Nhamundá AM","São José do Campestre RN","Mata Roma MA","Caridade CE","Santa Cruz da Baixa Verde PE",2612471,2334,2182,3064,787,2817,776,116,1208,562,926
"Xinguara PA","Canguçu RS","Itabaiana SE","Almeirim PA","Itaituba PA","Vale do Sol RS","Padre Bernardo GO","Capão do Leão RS","Turuçu RS","Bocaiúva do Sul PR","Santa Cruz do Capibaribe PE",2612505,294,4682,1778,158,209,5079,5490,4688,5072,3951
"Porto Real do Colégio AL","Glória BA","São Sebastião da Boa Vista PA","Piripá BA","São José de Princesa PB","Jucuruçu BA","Capitão de Campos PI","Lagoa Salgada RN","Piatã BA","Itapitanga BA","Santa Filomena PE",2612554,1730,1965,277,2130,1431,2045,716,1147,2124,2022
"Buíque PE","Parnarama MA","Tupanatinga PE","Irituia PA","Santa Filomena PE","Água Preta PE","Pedras de Fogo PB","Jucuruçu BA","Maracanã PA","Simão Dias SE","Santa Maria da Boa Vista PE",2612604,1494,582,1641,208,1608,1469,1381,2045,218,1821
"Aracatu BA","Cachoeirinha PE","Itambé BA","Caraíbas BA","São José do Jacuri MG","Cipotânea MG","Cupira PE","Alcobaça BA","Goianésia do Pará PA","Imbé de Minas MG","Santa Maria do Cambucá PE",2612703,1850,1497,2014,1912,2989,2423,1519,1835,202,2590
"Praia Norte TO","Ibititá BA","Agricolândia PI","Terra Nova PE","Uibaí BA","Davinópolis MA","Formosa do Rio Preto BA","Souto Soares BA","Barroquinha CE","Anamã AM","Santa Terezinha PE",2612802,415,1984,668,1635,2225,514,1961,2207,916,77
"Tomar do Geru SE","Santana BA","Baixa Grande do Ribeiro PI","Senador Rui Palmeira AL","Boquim SE","São Francisco do Maranhão MA","Poço Branco RN","Boa Nova BA","Satubinha MA","Caetés PE","São Benedito do Sul PE",2612901,1825,2171,684,1745,1758,627,1184,1872,644,1498
"Breves PA","Portel PA","Rondon do Pará PA","Chaves PA","Iguaí BA","Anajás PA","Santa Maria das Barreiras PA","Itamarati AM","São Geraldo do Araguaia PA","Porto de Moz PA","São Bento do Una PE",2613008,179,246,253,188,1989,160,261,104,272,247
"Concórdia do Pará PA","Canhotinho PE","Monte Santo BA","Planalto BA","Canindé de São Francisco SE","Tapauá AM","Amaraji PE","Aquidabã SE","Arame MA","Pio Xii MA","São Caitano PE",2613107,191,1504,2086,2133,1762,131,1474,1753,466,594
"Jaguaripe BA","Ituaçu BA","Guaratinga BA","São João da Fronteira PI","Primavera PA","Atalaia do Norte AM","Pedro Ii PI","Pilões PB","Ladainha MG","Jiquiriçá BA","São João PE",2613206,2037,2029,1970,857,249,80,823,1385,2667,2041
"Poço Verde SE","Olho D'Água das Flores AL","Major Isidoro AL","Lagoa do Ouro PE","Envira AM","Taperoá BA","São José da Laje AL","Frei Miguelinho PE","Inhapi AL","Ibirapitanga BA","São Joaquim do Monte PE",2613305,1805,1710,1697,1563,97,2212,1738,1529,1685,1980
"Tanque do Piauí PI","Esperantinópolis MA","Afonso Bezerra RN","Severiano Melo RN","Triunfo Potiguar RN","Pindorama do Tocantins TO","Ribamar Fiquene MA","Francisco Dantas RN","Fortuna MA","Petrolândia PE","São José da Coroa Grande PE",2613404,881,517,1077,1224,1234,408,607,1118,523,1589
"Icatu MA","Santana do Acaraú CE","Santa Rita de Cássia BA","Cururupu MA","Buriti Bravo MA","Belágua MA","Uruoca CE","Aurora CE","Serrita PE","Tabuleiro do Norte CE","São José do Belmonte PE",2613503,536,1048,2173,513,489,477,1071,910,1623,1059
"Missão Velha CE","Marco CE","Jardim do Mulato PI","Baturité CE","Riachão do Jacuípe BA","Chaval CE","Ibipeba BA","Central BA","Mucambo CE","Siriri SE","São José do Egito PE",2613602,1004,996,768,917,2150,936,1977,1921,1010,1822
"Serra Talhada PE","Santa Isabel do Pará PA","Capanema PA","Quixeramobim CE","Maranguape CE","São Cristóvão SE","Itapipoca CE","Timon MA","Bayeux PB","Cascavel CE","São Lourenço da Mata PE",2613701,1622,259,185,1041,995,1817,978,653,1267,931
"Olivença AL","Itaíba PE","Ourém PA","Riachão do Bacamarte PB","Presidente Tancredo Neves BA","Novo Santo Antônio PI","Bom Jesus RN","Jurema PE","Novo Lino AL","São Luís do Quitunde AL","São Vicente Ferrer PE",2613800,1713,1546,235,1401,2142,807,1093,1560,1709,1740
"São Cristóvão SE","Caucaia CE","São Lourenço da Mata PE","Nossa Senhora do Socorro SE","Maracanaú CE","Santarém PA","Maranguape CE","Parintins AM","Santa Isabel do Pará PA","Marituba PA","Serra Talhada PE",2613909,1817,934,1620,1798,994,264,995,120,259,220
"Belágua MA","Senador Elói de Souza RN","Carnaubal CE","Aurora CE","Alvorada do Gurguéia PI","Bom Lugar MA","Ibiapina CE","Upanema RN","Uruoca CE","Icatu MA","Serrita PE",2614006,477,1217,930,910,674,485,963,1236,1071,536
"São José de Mipibu RN","Paripiranga BA","Saúde BA","Umbaúba SE","Mataraca PB","Barra da Estiva BA","Japoatã SE","Paulo Ramos MA","Sapé PB","Teotônio Vilela AL","Sertânia PE",2614105,1207,2118,2193,1826,1358,1861,1783,586,1440,1748
"Esperantina PI","Timbiras MA","Ruy Barbosa BA","Santa Helena MA","Viçosa AL","Poço das Trincheiras AL","Campo Alegre AL","Passira PE","Matões MA","Salitre CE","Sirinhaém PE",2614204,745,652,2160,611,1751,1727,1664,1584,564,1047
"São Vicente Ferrer MA","Santa Bárbara do Pará PA","Monsenhor Tabosa CE","Croatá CE","Presidente Juscelino MA","Serra Dourada BA","Santo Inácio do Piauí PI","Urucuia MG","Olivedos PB","Barra do Mendes BA","Moreilândia PE",2614303,643,257,1006,942,600,2199,849,3073,1373,1863
"Peixe-Boi PA","Belém de Maria PE","Belém PB","Wanderley BA","Monte Alegre RN","Socorro do Piauí PI","Barra de Santana PB","Olho D'Água do Piauí PI","Ibirajuba PE","Riacho da Cruz RN","Solidão PE",2614402,242,1481,1268,2241,1160,878,1264,809,1538,1191
"Oeiras PI","Santo Amaro BA","Ribeirão PE","Ribeira do Pombal BA","Itabaiana PB","Colinas MA","Condado PE","Lagoa Grande PE","Baía Formosa RN","Palmares PE","Surubim PE",2614501,808,2175,1598,2153,1331,510,1515,1565,1088,1579
"Itatira CE","Primeira Cruz MA","Alcântara MA","Afonso Cunha MA","Itaipava do Grajaú MA","Nova Olinda do Maranhão MA","Queimadas BA","Curuçá PA","Aiuaba CE","Coração de Maria BA","Tabira PE",2614600,981,604,453,451,540,576,2143,196,895,1934
"Cuité PB","Barra de Santa Rosa PB","Ingá PB","Riachão do Poço PB","Capoeiras PE","Fagundes PB","Juru PB","Água Fria BA","Brotas de Macaúbas BA","Casserengue PB","Tacaimbó PE",2614709,1309,1265,1330,1402,1505,1322,1342,1831,1882,1297
"Bacurituba MA","Teixeira PB","Quixelô CE","Santa Cruz dos Milagres PI","Buritirana MA","Carnaíba PE","Chorozinho CE","Saboeiro CE","São Pedro dos Crentes MA","Bela Vista do Piauí PI","Tacaratu PE",2614808,472,1457,1040,842,491,1506,938,1046,639,690
"Ibateguara AL","Marcação PB","Flexeiras AL","Caldas Brandão PB","Jacaraú PB","Nova Soure BA","Bonfim do Piauí PI","Cuité de Mamanguape PB","Paranatama PE","Lucena PB","Tamandaré PE",2614857,1682,1354,1680,1291,1335,2106,699,1311,1582,1349
"Rio Bonito do Iguaçu PR","Caravelas BA","Tacuru MS","Sericita MG","Santa Rita de Minas MG","Campo do Brito SE","Araponga MG","Santa Margarida MG","Bannach PA","Marianópolis do Tocantins TO","Taquaritinga do Norte PE",2615003,4218,1913,5173,3023,2935,1760,2283,2919,168,382
"Filadélfia BA","Pedra Lavrada PB","Paranatama PE","Santa Cecília PB","Taquarana AL","Campo Grande do Piauí PI","Maribondo AL","Santa Brígida BA","Cuitegi PB","Vera Mendes PI","Terezinha PE",2615102,1958,1380,1582,1408,1747,711,1701,2164,1310,888
"Icapuí CE","Frecheirinha CE","Uibaí BA","Souto Soares BA","Esperantina TO","Davinópolis MA","Terra Alta PA","Uauá BA","Santa Terezinha PE","São Miguel do Tocantins TO","Terra Nova PE",2615201,965,951,2225,2207,359,514,282,2221,1611,433
"Coroatá MA","Vigia PA","Altos PI","Ipueiras CE","Catende PE","Mombaça CE","Zé Doca MA","Óbidos PA","Tuntum MA","Campo Alegre AL","Timbaúba PE",2615300,512,291,673,972,1511,1005,666,232,656,1664
"Ourilândia do Norte PA","Sumidouro RJ","São João do Triunfo PR","São José do Norte RS","Cujubim RO","Santa Leopoldina ES","Maraú BA","Cumaru do Norte PA","Sapucaia PA","Alto Paraíso RO","Toritama PE",2615409,236,3258,4255,4997,35,3158,2076,192,278,27
"Alto Santo CE","Cacimba de Areia PB","Emas PB","Santa Luz PI","Macaparana PE","João Costa PI","Marcelino Vieira RN","Vitória do Jari AP","Lagoa Nova RN","Pindaí BA","Tracunhaém PE",2615508,898,1285,1320,844,1568,771,1155,310,1146,2126
"Riacho das Almas PE","Caatiba BA","Barcelos AM","Cupira PE","Campos Lindos TO","Pauini AM","Imbé de Minas MG","São Gabriel da Cachoeira AM","Capitão Poço PA","Alcobaça BA","Trindade PE",2615607,1597,1886,82,1519,340,121,2590,126,186,1835
"Ewbank da Câmara MG","Santo Antônio do Rio Abaixo MG","Bela Vista do Toldo SC","Canabrava do Norte MT","Dom Bosco MG","Gouveia MG","Naque MG","Presidente Kennedy TO","Inimutaba MG","Várzea da Palma MG","Triunfo PE",2615706,2522,2948,4343,5202,2494,2557,2755,416,2597,3079
