Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Marechal Deodoro (AL)";270470;0,349;0,463;0,642;0,461;0,536;0,641;0,620;0,700;0,793;0,149;0,265;0,520
"Maribondo (AL)";270480;0,327;0,452;0,597;0,465;0,522;0,581;0,575;0,677;0,751;0,131;0,261;0,487
"Mar Vermelho (AL)";270490;0,274;0,412;0,577;0,403;0,448;0,540;0,584;0,677;0,766;0,087;0,230;0,465
"Mata Grande (AL)";270500;0,253;0,356;0,504;0,381;0,438;0,506;0,547;0,654;0,685;0,078;0,157;0,369
"Matriz de Camaragibe (AL)";270510;0,332;0,394;0,584;0,410;0,450;0,541;0,567;0,634;0,777;0,157;0,215;0,473
"Messias (AL)";270520;0,306;0,379;0,568;0,478;0,474;0,557;0,516;0,646;0,714;0,116;0,178;0,460
"Minador do Negrão (AL)";270530;0,263;0,384;0,563;0,415;0,446;0,541;0,552;0,672;0,767;0,079;0,189;0,430
"Monteirópolis (AL)";270540;0,251;0,380;0,539;0,368;0,516;0,497;0,488;0,618;0,710;0,088;0,172;0,443
"Murici (AL)";270550;0,273;0,391;0,527;0,428;0,477;0,542;0,529;0,615;0,685;0,090;0,204;0,395
"Novo Lino (AL)";270560;0,281;0,355;0,521;0,491;0,517;0,546;0,479;0,556;0,690;0,094;0,156;0,375
"Olho D'Água das Flores (AL)";270570;0,322;0,405;0,565;0,470;0,511;0,568;0,509;0,633;0,752;0,140;0,206;0,422
"Olho D'Água do Casado (AL)";270580;0,259;0,362;0,525;0,461;0,492;0,527;0,516;0,650;0,785;0,073;0,148;0,350
"Olho D'Água Grande (AL)";270590;0,238;0,368;0,503;0,357;0,404;0,473;0,512;0,654;0,673;0,074;0,188;0,399
"Olivença (AL)";270600;0,217;0,301;0,493;0,354;0,375;0,513;0,467;0,569;0,677;0,062;0,128;0,345
"Ouro Branco (AL)";270610;0,291;0,396;0,547;0,370;0,444;0,538;0,509;0,626;0,700;0,131;0,223;0,434
"Palestina (AL)";270620;0,317;0,402;0,558;0,377;0,421;0,505;0,488;0,610;0,735;0,173;0,253;0,467
"Palmeira dos Índios (AL)";270630;0,385;0,482;0,638;0,503;0,543;0,625;0,584;0,717;0,794;0,195;0,287;0,523
"Pão de Açúcar (AL)";270640;0,345;0,434;0,593;0,467;0,495;0,536;0,555;0,664;0,793;0,159;0,249;0,491
"Pariconha (AL)";270642;0,227;0,350;0,548;0,354;0,409;0,526;0,519;0,618;0,754;0,064;0,170;0,416
"Paripueira (AL)";270644;0,312;0,423;0,605;0,389;0,490;0,595;0,577;0,642;0,767;0,135;0,240;0,486
"Passo de Camaragibe (AL)";270650;0,249;0,382;0,533;0,407;0,452;0,513;0,518;0,618;0,703;0,073;0,200;0,421
"Paulo Jacinto (AL)";270660;0,282;0,420;0,589;0,365;0,444;0,551;0,537;0,672;0,732;0,114;0,249;0,507
"Penedo (AL)";270670;0,411;0,495;0,630;0,516;0,557;0,602;0,559;0,673;0,774;0,240;0,323;0,536
"Piaçabuçu (AL)";270680;0,316;0,417;0,572;0,475;0,486;0,538;0,559;0,658;0,727;0,119;0,226;0,479
"Pilar (AL)";270690;0,325;0,418;0,610;0,474;0,505;0,578;0,499;0,634;0,771;0,145;0,228;0,509
"Pindoba (AL)";270700;0,252;0,355;0,574;0,451;0,441;0,579;0,506;0,648;0,703;0,070;0,156;0,465
"Piranhas (AL)";270710;0,398;0,432;0,589;0,553;0,558;0,563;0,537;0,667;0,786;0,213;0,217;0,462
"Poço das Trincheiras (AL)";270720;0,240;0,313;0,526;0,343;0,347;0,484;0,456;0,575;0,719;0,088;0,154;0,419
"Porto Calvo (AL)";270730;0,322;0,423;0,586;0,472;0,458;0,558;0,594;0,677;0,723;0,119;0,244;0,498
"Porto de Pedras (AL)";270740;0,255;0,344;0,541;0,388;0,405;0,542;0,509;0,634;0,769;0,084;0,159;0,379
"Porto Real do Colégio (AL)";270750;0,274;0,378;0,551;0,403;0,435;0,513;0,479;0,618;0,758;0,106;0,201;0,431
"Quebrangulo (AL)";270760;0,300;0,384;0,559;0,430;0,472;0,536;0,553;0,643;0,775;0,113;0,187;0,421
"Rio Largo (AL)";270770;0,389;0,505;0,643;0,496;0,542;0,616;0,594;0,713;0,788;0,200;0,333;0,547
"Roteiro (AL)";270780;0,219;0,339;0,505;0,423;0,448;0,524;0,467;0,541;0,672;0,053;0,161;0,365
"Santa Luzia do Norte (AL)";270790;0,375;0,434;0,597;0,483;0,495;0,580;0,516;0,653;0,770;0,212;0,253;0,477
"Santana do Ipanema (AL)";270800;0,349;0,425;0,591;0,442;0,508;0,579;0,555;0,638;0,770;0,173;0,237;0,463
"Santana do Mundaú (AL)";270810;0,266;0,356;0,519;0,417;0,463;0,513;0,531;0,647;0,752;0,085;0,151;0,362
"São Brás (AL)";270820;0,304;0,436;0,572;0,383;0,454;0,533;0,572;0,701;0,732;0,128;0,261;0,480
"São José da Laje (AL)";270830;0,304;0,402;0,573;0,445;0,491;0,574;0,527;0,641;0,755;0,120;0,206;0,434
"São José da Tapera (AL)";270840;0,204;0,319;0,527;0,332;0,384;0,508;0,433;0,573;0,703;0,059;0,148;0,409
"São Luís do Quitunde (AL)";270850;0,267;0,396;0,536;0,438;0,462;0,550;0,622;0,684;0,701;0,070;0,196;0,400
"São Miguel dos Campos (AL)";270860;0,365;0,506;0,623;0,501;0,563;0,612;0,576;0,718;0,770;0,169;0,320;0,514
"São Miguel dos Milagres (AL)";270870;0,337;0,444;0,591;0,411;0,481;0,545;0,638;0,714;0,752;0,146;0,255;0,504
"São Sebastião (AL)";270880;0,246;0,351;0,549;0,400;0,459;0,537;0,488;0,630;0,714;0,076;0,149;0,432
"Satuba (AL)";270890;0,416;0,543;0,660;0,515;0,555;0,619;0,620;0,732;0,794;0,225;0,394;0,585
"Senador Rui Palmeira (AL)";270895;0,211;0,299;0,518;0,352;0,368;0,481;0,467;0,592;0,728;0,057;0,123;0,398
"Tanque D'Arca (AL)";270900;0,260;0,395;0,555;0,397;0,449;0,531;0,537;0,668;0,748;0,082;0,206;0,430
"Taquarana (AL)";270910;0,279;0,375;0,541;0,404;0,442;0,529;0,552;0,669;0,710;0,097;0,178;0,421
"Teotônio Vilela (AL)";270915;0,253;0,398;0,564;0,443;0,488;0,549;0,496;0,569;0,700;0,074;0,227;0,466
"Traipu (AL)";270920;0,248;0,320;0,532;0,315;0,376;0,499;0,509;0,634;0,765;0,095;0,138;0,395
"União dos Palmares (AL)";270930;0,312;0,406;0,593;0,463;0,504;0,590;0,558;0,655;0,764;0,118;0,203;0,462
"Viçosa (AL)";270940;0,306;0,415;0,586;0,452;0,505;0,554;0,506;0,641;0,758;0,125;0,221;0,478
"Alvarães (AM)";130002;0,306;0,373;0,527;0,487;0,504;0,499;0,640;0,673;0,778;0,092;0,153;0,377
"Amaturá (AM)";130006;0,254;0,413;0,560;0,425;0,436;0,499;0,599;0,694;0,773;0,064;0,233;0,455
"Anamã (AM)";130008;0,307;0,408;0,594;0,504;0,514;0,537;0,590;0,634;0,741;0,097;0,209;0,526
"Anori (AM)";130010;0,357;0,428;0,561;0,489;0,502;0,540;0,595;0,675;0,757;0,157;0,231;0,433
"Apuí (AM)";130014;0,322;0,437;0,637;0,542;0,556;0,621;0,622;0,681;0,772;0,099;0,221;0,540
"Atalaia do Norte (AM)";130020;0,246;0,348;0,450;0,399;0,469;0,481;0,640;0,665;0,733;0,058;0,135;0,259
"Autazes (AM)";130030;0,357;0,420;0,577;0,507;0,494;0,539;0,640;0,699;0,799;0,140;0,214;0,446
"Barcelos (AM)";130040;0,317;0,384;0,500;0,518;0,531;0,545;0,615;0,693;0,728;0,100;0,154;0,315
"Barreirinha (AM)";130050;0,293;0,399;0,574;0,438;0,437;0,469;0,620;0,693;0,774;0,093;0,210;0,522
"Benjamin Constant (AM)";130060;0,300;0,389;0,574;0,404;0,462;0,526;0,622;0,679;0,763;0,107;0,188;0,471
"Beruri (AM)";130063;0,272;0,340;0,506;0,420;0,455;0,512;0,590;0,642;0,731;0,081;0,134;0,346
"Boa Vista do Ramos (AM)";130068;0,287;0,372;0,565;0,445;0,416;0,496;0,599;0,648;0,750;0,089;0,191;0,484
"Boca do Acre (AM)";130070;0,288;0,401;0,588;0,484;0,510;0,576;0,635;0,669;0,777;0,078;0,189;0,455
"Borba (AM)";130080;0,305;0,389;0,560;0,491;0,510;0,532;0,576;0,654;0,776;0,100;0,176;0,425
"Caapiranga (AM)";130083;0,258;0,403;0,569;0,482;0,472;0,544;0,622;0,665;0,775;0,057;0,209;0,436
"Canutama (AM)";130090;0,212;0,380;0,530;0,449;0,442;0,522;0,576;0,648;0,752;0,037;0,191;0,379
"Carauari (AM)";130100;0,268;0,344;0,549;0,465;0,481;0,534;0,583;0,634;0,745;0,071;0,134;0,416
"Careiro (AM)";130110;0,237;0,337;0,557;0,422;0,466;0,515;0,640;0,699;0,779;0,049;0,118;0,431
"Careiro da Várzea (AM)";130115;0,248;0,387;0,568;0,492;0,486;0,523;0,622;0,694;0,779;0,050;0,172;0,450
"Coari (AM)";130120;0,312;0,389;0,586;0,467;0,481;0,606;0,622;0,703;0,780;0,105;0,174;0,425
"Codajás (AM)";130130;0,355;0,440;0,563;0,539;0,543;0,546;0,563;0,661;0,775;0,147;0,237;0,421
"Eirunepé (AM)";130140;0,295;0,409;0,563;0,413;0,458;0,548;0,599;0,648;0,756;0,104;0,230;0,431
"Envira (AM)";130150;0,263;0,346;0,509;0,416;0,409;0,521;0,599;0,642;0,727;0,073;0,158;0,349
"Fonte Boa (AM)";130160;0,243;0,320;0,530;0,453;0,483;0,518;0,576;0,618;0,719;0,055;0,110;0,400
"Guajará (AM)";130165;0,266;0,381;0,532;0,420;0,463;0,510;0,576;0,665;0,762;0,078;0,179;0,387
"Humaitá (AM)";130170;0,296;0,475;0,605;0,485;0,565;0,621;0,669;0,699;0,791;0,080;0,272;0,451
"Ipixuna (AM)";130180;0,257;0,318;0,481;0,371;0,374;0,476;0,539;0,665;0,772;0,085;0,129;0,302
"Iranduba (AM)";130185;0,323;0,437;0,613;0,521;0,537;0,607;0,640;0,754;0,799;0,101;0,206;0,476
"Itacoatiara (AM)";130190;0,408;0,491;0,644;0,532;0,544;0,618;0,667;0,741;0,811;0,192;0,293;0,534
