"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CACHOEIRA DOURADA",3109808,36864.98,2,1,0,1,1,0,1
"CACHOEIRA DOURADA",5204250,48830.39,1,1,0,1,1,0,1
"CACHOEIRA GRANDE",2102374,840519.88,3,1,0,1,1,0,1
"CACHOEIRA PAULISTA",3508603,551471.98,3,1,0,2,2,0,0.562131914662283
"CACHOEIRAS DE MACACU",3300803,1145848.09,13,1,0,2,2,0,0.830256731500944
"CACHOEIRINHA",1703826,218800.97,9,0.957859921736179,0.0421400782638212,2,1,0,0.957859921736179
"CACHOEIRINHA",2603108,30455.25,1,1,0,1,1,0,1
"CACHOEIRINHA",4303103,234555.75,43,0.929926211572302,0.0700737884276979,28,8,0,0.383235115745404
"CACHOEIRO DE ITAPEMIRIM",3201209,18222.83,1,1,0,1,1,0,1
"CACIMBA DE AREIA",2503407,125000,1,1,0,1,1,0,1
"CACIMBA DE DENTRO",2503506,370000,2,1,0,1,1,0,1
"CACIMBAS",2503555,520839.78,9,1,0,3,2,0,0.558298158408714
"CACIQUE DOBLE",4303202,249771.4,13,1,0,4,4,0,0.568437379139485
"CACOAL",1100049,5340465.42,42,1,0,14,14,0,0.182160428631705
"CACONDE",3508702,170000,1,1,0,1,1,0,1
"CACU",5204300,213422.73,3,1,0,1,1,0,1
"CACULE",2905008,253360,3,0.724265866750868,0.275734133249132,2,2,0,0.724265866750868
"CAEM",2905107,493777.93,11,0.975849021846724,0.0241509781532763,5,5,0,0.325919791514376
"CAETANOPOLIS",3109907,185294,2,1,0,1,1,0,1
"CAETITE",2905206,1346459.64,18,1,0,6,6,0,0.24417242836926
"CAFARNAUM",2905305,532455.25,6,1,0,4,4,0,0.579620860156793
"CAFEARA",4103404,754516.76,9,1,0,7,7,0,0.39628013034462
"CAFELANDIA",4103453,1281284.29,24,1,0,9,9,0,0.230237740603219
"CAFEZAL DO SUL",4103479,197716.46,6,1,0,2,2,0,0.904149204370744
"CAIABU",3508900,136000,4,1,0,3,2,0,0.716911764705882
"CAIAPONIA",5204409,869500,3,1,0,2,2,0,0.588269120184014
"CAIBATE",4303301,251830,7,1,0,5,4,0,0.474129372989715
"CAIBI",4203105,1384538.11,7,1,0,2,2,0,0.722045852533449
"CAICARA",2503605,140400,4,1,0,2,2,0,0.737179487179487
"CAICARA",4303400,1947617.21,27,1,0,12,12,0,0.390031565802399
"CAICO",2402006,398640.71,4,1,0,2,2,0,0.862738705236603
"CAIEIRAS",3509007,425624.6,4,1,0,1,1,0,1
"CAIUA",3509106,106900,2,1,0,1,1,0,1
"CAJAMAR",3509205,13476.42,2,1,0,2,0,0,0.517570690138776
"CAJAPIO",2102408,70400,1,0,1,1,1,0,1
"CAJATI",3509254,1443279.99,14,1,0,5,5,0,0.368073439443999
"CAJAZEIRAS",2503704,130950,1,1,0,1,1,0,1
"CAJAZEIRINHAS",2503753,138500,3,1,0,1,1,0,1
"CAJOBI",3509304,289067.77,4,1,0,3,3,0,0.377031898090887
"CALDAS BRANDAO",2503803,541900,5,0.96456910869164,0.0354308913083595,4,4,0,0.662114781324968
"CALDAS NOVAS",5204508,3769231.62,42,1,0,17,17,0,0.24450985317798
"CALDAZINHA",5204557,105400,4,1,0,1,1,0,1
"CALDEIRAO GRANDE",2905503,85237.72,1,1,0,1,1,0,1
"CALDEIRAO GRANDE DO PIAUI",2202091,107203.69,2,0.928067961093503,0.0719320389064966,2,1,0,0.928067961093503
"CALIFORNIA",4103503,499712.5,6,1,0,3,3,0,0.446256597543588
"CALMON",4203154,2285342.01,16,1,0,5,5,1,0.602984587851689
"CAMACAN",2905602,217524.91,3,1,0,1,1,0,1
"CAMALAU",2503902,76795.11,2,1,0,1,1,0,1
"CAMANDUCAIA",3110509,754700.94,13,0.76280526429449,0.23719473570551,2,2,0,0.76280526429449
"CAMAQUA",4303509,1984253.57,32,1,0,8,8,0,0.498867556529078
"CAMARAGIBE",2603454,4938659.97,27,1,0,6,6,2,0.379002296446823
"CAMBARA",4103602,996169,10,1,0,6,5,0,0.276057576575862
"CAMBARA DO SUL",4303608,684090.87,23,1,0,1,1,0,1
"CAMBORIU",4203204,230176.28,5,1,0,3,2,0,0.684996603472782
"CAMBUCI",3300902,128559.95,2,1,0,1,1,0,1
"CAMOCIM",2302602,1167333.52,12,1,0,5,5,0,0.428326567714769
"CAMOCIM DE SAO FELIX",2603504,341470.72,4,1,0,2,2,0,0.585701755043595
"CAMPESTRE DO MARANHAO",2102556,329911.27,4,1,0,2,2,0,0.883123240985372
"CAMPINA DA LAGOA",4103909,279324.04,11,0.987469750186916,0.0125302498130845,5,4,0,0.482321679150853
"CAMPINA DAS MISSOES",4303707,684802.46,7,1,0,6,6,0,0.511083824085562
"CAMPINA DO MONTE ALEGRE",3509452,491384.28,17,1,0,5,4,0,0.503569385654747
"CAMPINA DO SIMAO",4103958,337616.04,8,1,0,7,5,0,0.45910140999225
"CAMPINA GRANDE",2504009,2169031.24,15,1,0,4,4,0,0.419875704510369
"CAMPINA VERDE",3111101,214500,2,1,0,2,2,0,0.512820512820513
"CAMPINACU",5204656,174159.27,4,1,0,1,1,0,1
"CAMPINAPOLIS",5102603,1438430,20,1,0,5,5,0,0.429669848376355
"CAMPINAS",3509502,294024.86,6,1,0,2,2,0,0.889944340080631
"CAMPINAS DO PIAUI",2202109,159870.5,19,0.989366393424678,0.0106336065753219,6,1,0,0.862782689739508
"CAMPINAS DO SUL",4303806,2223583.34,16,1,0,8,8,0,0.334595059522257
"CAMPO ALEGRE",2701407,3756607.31,22,0.998460845246026,0.00153915475397401,8,6,1,0.583505226688174
"CAMPO ALEGRE DE GOIAS",5204805,650000,13,1,0,2,2,0,0.695384615384615
"CAMPO ALEGRE DE LOURDES",2905909,475037.65,3,1,0,1,1,0,1
"CAMPO AZUL",3111150,137478.03,14,1,0,1,1,0,1
"CAMPO BELO",3111200,1032540,5,1,0,2,2,0,0.929746063106514
"CAMPO BELO DO SUL",4203402,726911.36,9,1,0,4,4,0,0.39757254584658
"CAMPO BOM",4303905,180315.63,4,1,0,1,1,0,1
"CAMPO BONITO",4104055,342203.23,4,1,0,2,2,0,0.797593202144819
"CAMPO DO BRITO",2801009,416151.8,4,1,0,2,2,0,0.615524911823041
"CAMPO DO MEIO",3111309,333750,8,1,0,4,4,0,0.437453183520599
"CAMPO ERE",4203501,1784366.03,24,1,0,8,8,0,0.315032129366417
"CAMPO FLORIDO",3111408,410656.86,6,1,0,2,2,0,0.739121367654737
"CAMPO GRANDE",5002704,3314794.91,92,0.996315790167543,0.00368420983245687,37,16,1,0.84059715477239
"CAMPO GRANDE DO PIAUI",2202133,246062.5,3,1,0,2,2,0,0.593599187198374
"CAMPO LARGO",4104204,309936.02,4,1,0,2,1,0,0.991062026285296
