"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CHUI",4305439,211205.15,8,1,0,3,3,0,0.856665426955735
"CHUPINGUAIA",1100924,564900,3,1,0,3,3,0,0.47087980173482
"CIANORTE",4105508,642621.45,14,1,0,10,5,0,0.366879505811703
"CIDADE GAUCHA",4105607,103000,7,1,0,7,2,0,0.441747572815534
"CIDADE OCIDENTAL",5205497,706087.29,2,1,0,1,1,0,1
"CIDREIRA",4305454,262500,29,0,1,8,4,0,0.485714285714286
"CIPO",2907905,256440,2,1,0,1,1,0,1
"CIRIACO",4305504,1530879.44,34,1,0,15,11,0,0.214255931218202
"CLARAVAL",3116407,36747.52,2,1,0,1,1,0,1
"CLARO DOS POCOES",3116506,248708.02,2,1,0,2,2,0,0.884169316293057
"CLAUDIO",3116605,431505.33,7,1,0,5,5,0,0.37960133655823
"CLEMENTINA",3511904,413633.26,6,1,0,3,3,0,0.554033179053348
"CLEVELANDIA",4105706,1222268.67,11,1,0,4,4,0,0.442898679551363
"COCAL DE TELHA",2202711,622455.07,4,0.985541125080723,0.0144588749192773,4,3,0,0.530658461822795
"COCAL DO SUL",4204251,1020070.17,21,1,0,7,5,0,0.312083746160325
"COCAL DOS ALVES",2202729,211749.03,4,0.933206966756825,0.0667930332431747,2,2,0,0.933206966756825
"COCALZINHO DE GOIAS",5205513,2033130.45,13,1,0,3,3,1,0.803429297908553
"COIMBRA",3116704,123000,2,1,0,1,1,0,1
"COITE DO NOIA",2702009,388650,2,1,0,1,1,0,1
"COLATINA",3201506,843762.81,9,1,0,4,4,0,0.382386419709586
"COLIDER",5103205,1835055.05,17,1,0,8,8,0,0.282825302706859
"COLINAS",2103505,387019.15,16,1,0,4,4,0,0.525038618890047
"COLINAS DO TOCANTINS",1705508,295874.76,8,1,0,2,2,0,0.553209236232249
"COLMEIA",1716703,650000,3,1,0,2,2,0,0.618
"COLONIA DO PIAUI",2202778,756948.62,8,0.975890041255376,0.0241099587446239,5,5,0,0.502687791411787
"COLORADO",4105904,907171.39,10,1,0,5,5,0,0.412041687073046
"COLORADO",4305603,166724.08,8,1,0,1,1,0,1
"COLORADO DO OESTE",1100064,589600,5,1,0,4,4,0,0.613805970149254
"COLUNA",3116803,68139.75,2,1,0,1,1,0,1
"COMBINADO",1705557,239130.29,14,1,0,2,2,0,0.85309142559899
"COMENDADOR GOMES",3116902,105000,1,1,0,1,1,0,1
"COMERCINHO",3117009,136589.86,2,1,0,1,1,0,1
"COMODORO",5103304,613745.23,14,1,0,8,4,0,0.663574314052103
"CONCEICAO",2504405,333745.23,6,1,0,2,2,0,0.656605668940946
"CONCEICAO DA BARRA DE MINAS",3115201,453000,6,1,0,3,3,0,0.551876379690949
"CONCEICAO DA FEIRA",2908200,306783.06,5,1,0,2,2,0,0.654158642266623
"CONCEICAO DAS ALAGOAS",3117306,790016.44,8,0.9487151178778,0.0512848821221999,5,5,0,0.348094021942126
"CONCEICAO DAS PEDRAS",3117207,165000,1,1,0,1,1,0,1
"CONCEICAO DE MACABU",3301405,81174.94,1,1,0,1,1,0,1
"CONCEICAO DO ALMEIDA",2908309,42638.04,3,1,0,3,2,0,0.490314282739075
"CONCEICAO DO ARAGUAIA",1502707,3785676.32,18,1,0,2,2,1,0.823809553797246
"CONCEICAO DO CANINDE",2202802,682055.37,8,0.98165288252184,0.0183471174781602,3,3,0,0.582457521007422
"CONCEICAO DO CASTELO",3201704,652616.39,15,1,0,7,7,0,0.283167880598279
"CONCEICAO DO COITE",2908408,520208.73,13,1,0,1,1,0,1
"CONCEICAO DO JACUIPE",2908507,156911.26,1,1,0,1,1,0,1
"CONCEICAO DO MATO DENTRO",3117504,175994,3,1,0,2,2,0,0.820482516449424
"CONCEICAO DO PARA",3117603,338800,2,1,0,1,1,0,1
"CONCEICAO DO RIO VERDE",3117702,279539,13,0.866566024776507,0.133433975223493,5,4,0,0.53158950987161
"CONCEICAO DOS OUROS",3117801,1223022.64,5,1,0,3,3,0,0.80456401036043
"CONCHAL",3512209,595252.35,5,1,0,2,2,0,0.513970049845246
"CONCORDIA",4204301,2259718.36,14,1,0,7,7,1,0.450282755590834
"CONDADO",2504504,37971.33,1,1,0,1,1,0,1
"CONDE",2504603,261451.71,10,1,0,2,2,0,0.514435342572439
"CONDOR",4305702,854135.19,11,1,0,8,8,0,0.3207923092362
"CONFINS",3117876,29781.16,2,1,0,1,1,0,1
"CONFRESA",5103353,539000,2,1,0,2,2,0,0.582560296846011
"CONGO",2504702,176774.76,8,1,0,4,4,0,0.663273422065458
"CONGONHAL",3117900,96600,9,1,0,2,2,0,0.838509316770186
"CONGONHAS",3118007,666565.5,15,1,0,7,6,0,0.377499285516577
"CONGONHAS DO NORTE",3118106,368258.57,7,1,0,2,2,0,0.663935668896993
"CONGONHINHAS",4106001,1124009.04,25,1,0,12,10,0,0.322586373504612
"CONQUISTA",3118205,102860.69,4,1,0,1,1,0,1
"CONSELHEIRO MAIRINCK",4106100,438800,6,1,0,5,5,0,0.440747493163172
"CONSELHEIRO PENA",3118403,481000,2,1,0,2,2,0,0.925155925155925
"CONSOLACAO",3118502,54746.95,2,1,0,1,1,0,1
"CONSTANTINA",4305801,2594601.85,28,1,0,6,5,1,0.584482740579253
"CONTAGEM",3118601,2031757.87,70,0.708570982427153,0.291429017572847,46,21,0,0.576780613134773
"CONTENDA",4106209,14041.41,1,1,0,1,1,0,1
"CONTENDAS DO SINCORA",2908804,334157.82,2,1,0,1,1,0,1
"COQUEIRO BAIXO",4305835,363899,4,1,0,2,2,0,0.961805336096005
"COQUEIRO SECO",2702207,32529.03,1,1,0,1,1,0,1
"COQUEIROS DO SUL",4305850,310134.13,4,1,0,3,3,0,0.423203985965685
"CORACAO DE JESUS",3118809,199150,4,1,0,3,3,0,0.507155410494602
"CORACAO DE MARIA",2908903,330561.22,7,1,0,3,2,0,0.556172439102203
"CORBELIA",4106308,467086.25,11,1,0,3,3,0,0.486361137798426
"CORDEIRO",3301504,228900,2,1,0,2,2,0,0.777632153778943
"CORDEIROPOLIS",3512407,117500,3,1,0,1,1,0,1
"CORDEIROS",2909000,192998.21,3,1,0,1,1,0,1
"CORDILHEIRA ALTA",4204350,385250,3,1,0,3,3,0,0.712524334847502
"COREAU",2304004,736708.42,5,1,0,4,3,0,0.519409103536512
"COREMAS",2504801,21817.08,1,1,0,1,1,0,1
"CORGUINHO",5003108,312950,8,1,0,2,2,0,0.538424668477393
"CORIBE",2909109,2532471.5,60,1,0,9,9,0,0.32388437935037
"CORNELIO PROCOPIO",4106407,2999766.86,39,1,0,17,11,0,0.253219678545285
"COROATA",2103604,29574.5,2,1,0,1,1,0,1
"COROMANDEL",3119302,847047.23,22,1,0,9,8,0,0.388148368066796
"CORONEL BARROS",4305871,101640,5,1,0,4,3,0,0.5814639905549
"CORONEL BICACO",4305900,577250,9,1,0,3,3,0,0.839324382849718
"CORONEL DOMINGOS SOARES",4106456,814829.67,117,1,0,6,6,0,0.376888583352641
"CORONEL EZEQUIEL",2402808,195000,3,1,0,1,1,0,1
"CORONEL FREITAS",4204400,259093.09,5,1,0,2,2,0,0.797465459229345
"CORONEL JOAO PESSOA",2402907,247654.6,6,1,0,1,1,0,1
"CORONEL JOAO SA",2909208,54031.6,1,1,0,1,1,0,1
"CORONEL JOSE DIAS",2202851,308706.46,8,1,0,2,2,0,0.631030850471999
"CORONEL MARTINS",4204459,269986.25,10,1,0,9,8,0,0.444096690109219
"CORONEL PILAR",4305934,581411.16,4,1,0,3,3,0,0.638790627961114
"CORONEL SAPUCAIA",5003157,485752.17,6,1,0,2,2,0,0.59701225832918
"CORONEL VIVIDA",4106506,3052468.59,35,1,0,15,14,0,0.204424707937781
"CORONEL XAVIER CHAVES",3119708,26779.07,1,1,0,1,1,0,1
"CORREGO DANTA",3119807,395951.16,6,1,0,4,3,0,0.43204439658669
"CORREGO FUNDO",3119955,250042.41,4,1,0,2,2,0,0.556075307384855
"CORREGO NOVO",3120003,883876.83,13,1,0,7,7,0,0.356384497600192
"CORREIA PINTO",4204558,375639.98,5,1,0,2,2,0,0.710520749149225
"CORRENTE",2202901,150000,2,1,0,1,1,0,1
"CORRENTINA",2909307,73680.49,1,1,0,1,1,0,1
"CORUMBA DE GOIAS",5205802,246215,6,1,0,1,1,0,1
"CORUMBAIBA",5205901,60972.37,1,1,0,1,1,0,1
"CORUMBATAI DO SUL",4106555,953209.92,12,1,0,5,5,0,0.293219776814744
"CORUMBIARA",1100072,3372397.76,26,1,0,8,8,1,0.350729683796255
"CORUPA",4204509,382850,3,1,0,2,2,0,0.969188977406295
"CORURIPE",2702306,271487.17,6,1,0,2,2,0,0.637230849619892
"COSMORAMA",3512902,619204.34,14,1,0,9,8,0,0.4189247123171
"COSTA MARQUES",1100080,716660,13,1,0,7,7,0,0.315351770714146
"COSTA RICA",5003256,1969659.13,18,1,0,4,4,1,0.617997262297868
"COTEGIPE",2909406,142414.66,2,1,0,1,1,0,1
"COTIA",3513009,256836.82,3,1,0,1,1,0,1
"COTIPORA",4305959,1681844.33,19,1,0,7,6,0,0.58580281327226
"COTRIGUACU",5103379,1022064.71,7,1,0,3,3,0,0.830201445855615
"COUTO DE MAGALHAES DE MINAS",3120102,112690,2,1,0,2,2,0,0.633507853403141
"COXILHA",4305975,540413.43,3,1,0,2,2,0,0.51888686408108
"COXIM",5003306,378756.6,2,1,0,1,1,0,1
"CRATEUS",2304103,182058.18,4,1,0,2,2,0,0.903260979539617
"CRATO",2304202,505144.01,10,1,0,5,4,0,0.384351286279728
"CRAVINHOS",3513108,236535.6,5,1,0,1,1,0,1
"CRAVOLANDIA",2909505,364511.82,5,1,0,1,1,0,1
"CRICIUMA",4204608,104560,4,1,0,4,1,0,0.889441469013007
"CRISOLITA",3120151,77324.14,1,1,0,1,1,0,1
"CRISOPOLIS",2909604,126557.51,1,1,0,1,1,0,1
"CRISSIUMAL",4306007,457900,3,1,0,3,3,0,0.480454247652326
"CRISTAIS",3120201,385700,2,1,0,2,2,0,0.590873736064299
"CRISTAIS PAULISTA",3513207,429850.97,5,1,0,1,1,0,1
"CRISTAL",4306056,1224767.79,37,1,0,24,11,0,0.42565734031918
"CRISTAL DO SUL",4306072,433122.55,8,1,0,6,5,0,0.43087701159868
"CRISTALANDIA",1706100,119431.82,4,0.919989162017292,0.0800108379827085,2,1,0,0.919989162017292
"CRISTALANDIA DO PIAUI",2203008,336210.14,2,1,0,1,1,0,1
"CRISTALIA",3120300,165000,1,1,0,1,1,0,1
"CRISTALINA",5206206,660230.84,3,1,0,2,2,0,0.614936436474249
"CRISTIANOPOLIS",5206305,467376.24,11,1,0,2,2,0,0.587056457983401
"CRISTINA",3120508,112506.56,3,1,0,1,1,0,1
"CRISTINAPOLIS",2801702,262180,8,1,0,1,1,0,1
"CRIXAS",5206404,154016.35,1,1,0,1,1,0,1
"CROATA",2304236,248750,2,1,0,1,1,0,1
"CROMINIA",5206503,390907.84,10,1,0,2,2,0,0.676885886965071
"CRUCILANDIA",3120607,87224.74,2,1,0,1,1,0,1
"CRUZ",2304251,300057.74,17,0.986522593951418,0.0134774060485825,6,4,0,0.547781237037911
"CRUZ ALTA",4306106,1691655.68,60,1,0,8,8,1,0.831521317624163
"CRUZ DAS ALMAS",2909802,643757.02,10,1,0,2,2,0,0.750493206272143
"CRUZ MACHADO",4106803,443279.06,4,1,0,3,3,0,0.498557274507846
"CRUZALIA",3513306,133911,7,1,0,2,2,0,0.718604147530823
"CRUZALTENSE",4306130,1334551.65,24,1,0,8,8,0,0.246449809567131
"CRUZEIRO DO IGUACU",4106571,553118.38,12,1,0,8,6,0,0.376893966170497
"CRUZEIRO DO OESTE",4106605,4084,8,1,0,3,0,0,0.53232125367287
"CRUZEIRO DO SUL",1200203,6768503.77,41,1,0,10,10,1,0.293141509175816
"CRUZEIRO DO SUL",4106704,459000,2,1,0,2,2,0,0.542483660130719
"CRUZEIRO DO SUL",4306205,354343.18,6,1,0,2,2,0,0.68251117461891
"CRUZETA",2403004,125051.5,3,1,0,1,1,0,1
"CRUZILIA",3120805,412925,2,1,0,2,2,0,0.702306714294363
"CRUZMALTINA",4106852,249000,1,1,0,1,1,0,1
"CUBATAO",3513504,0.08,7,0,1,2,0,0,1
"CUBATI",2505006,228688.96,4,1,0,3,3,0,0.481002668427894
"CUIABA",5103403,1508046.39,28,1,0,12,8,0,0.274043287222749
"CUJUBIM",1100940,1530565,13,1,0,10,10,0,0.489035094883262
"CUMBE",2801900,262113.04,4,1,0,3,3,0,0.423912675233556
"CUNHA PORA",4204707,715628.33,8,1,0,5,5,0,0.451111724433827
"CUNHATAI",4204756,218790,2,1,0,2,2,0,0.680561268796563
"CUPARAQUE",3120839,858694.07,8,1,0,6,6,0,0.421878492767511
"CURACA",2909901,618316.7,7,1,0,3,3,0,0.599115938482658
"CURITIBA",4106902,3196475.75,100,0.99806994312408,0.0019300568759203,51,16,1,0.838986887355551
"CURITIBANOS",4204806,1039500,4,1,0,3,3,0,0.753727753727754
"CURRAIS NOVOS",2403103,237874,4,1,0,3,3,0,0.748295316007634
"CURRAL DE DENTRO",3120870,465372.33,7,1,0,2,2,0,0.536487891319194
"CURRAL NOVO DO PIAUI",2203271,227916.24,3,0.969026910938861,0.0309730890611393,2,1,0,0.969026910938861
"CURRAL VELHO",2505303,147254.27,4,1,0,1,1,0,1
"CURRALINHO",1502806,2824917.25,8,1,0,1,1,1,1
"CURUCA",1502905,2931189.4,11,1,0,1,1,1,1
"CURVELANDIA",5103437,209000,3,1,0,3,3,0,0.545454545454545
"CURVELO",3120904,421624,6,1,0,5,5,0,0.436407794622697
"CUSTODIA",2605103,5e+05,3,1,0,1,1,0,1
"DAMIAO",2505352,187867.78,4,1,0,1,1,0,1
"DAMOLANDIA",5206800,195000,4,1,0,1,1,0,1
"DARCINOPOLIS",1706506,565595.87,4,1,0,3,3,0,0.399504862013932
"DAVID CANABARRO",4306304,1191343.45,27,1,0,7,7,0,0.383600547768152
"DAVINOPOLIS",2103752,686257.78,5,1,0,2,2,0,0.782151832216751
"DAVINOPOLIS",5206909,294000,1,1,0,1,1,0,1
"DELFIM MOREIRA",3121100,346600,4,1,0,3,3,0,0.682342758222735
"DELMIRO GOUVEIA",2702405,389804.96,7,1,0,6,5,0,0.823488751913264
"DEMERVAL LOBAO",2203305,202340.3,2,0.930292729624301,0.0697072703756988,2,2,0,0.930292729624301
"DENISE",5103452,1156714.05,18,1,0,3,3,0,0.465110629545824
"DEODAPOLIS",5003454,89924.24,5,1,0,2,1,0,0.925994926395819
"DEPUTADO IRAPUAN PINHEIRO",2304269,11884.33,2,1,0,1,1,0,1
"DERRUBADAS",4306320,1450614.61,15,1,0,6,6,0,0.287222634549365
"DESCALVADO",3513702,145787.13,6,1,0,1,1,0,1
"DESCANSO",4204905,1004401.01,26,1,0,11,10,0,0.461830489397855
"DESCOBERTO",3121308,201651.11,3,1,0,2,2,0,0.5133625101295
"DESTERRO DO MELO",3121506,336319.95,5,1,0,3,3,0,0.638677544998446
"DEZESSEIS DE NOVEMBRO",4306353,265177.99,5,1,0,4,4,0,0.414061513928814
"DIAMANTE D'OESTE",4107157,199200,1,1,0,1,1,0,1
"DIAMANTE DO NORTE",4107108,230160,3,1,0,3,3,0,0.775460549183177
"DIAMANTE DO SUL",4107124,486230,7,1,0,4,4,0,0.791806346790613
"DIAMANTINA",3121605,264959.88,11,1,0,4,3,0,0.476449038246847
"DIAS D'AVILA",2910057,154965.24,2,1,0,2,2,0,0.896949535263521
"DILERMANDO DE AGUIAR",4306379,207000,1,1,0,1,1,0,1
"DIOGO DE VASCONCELOS",3121704,491600,5,1,0,3,3,0,0.614524003254679
"DIONISIO",3121803,338061,7,1,0,4,4,0,0.423000582735069
"DIONISIO CERQUEIRA",4205001,1460258.99,34,1,0,9,9,0,0.189299207806966
"DIORAMA",5207105,101360,3,1,0,2,2,0,0.856353591160221
"DIVINA PASTORA",2802007,535972.95,13,1,0,4,4,0,0.445376954191438
"DIVINESIA",3121902,569950,4,1,0,4,4,0,0.51057110272831
"DIVINO",3122009,374869.64,6,1,0,2,2,0,0.602529375278297
"DIVINO DAS LARANJEIRAS",3122108,441020,9,1,0,5,5,0,0.403609813613895
"DIVINOLANDIA",3513900,161900,1,1,0,1,1,0,1
"DIVINOPOLIS",3122306,171493.21,166,1,0,3,3,0,0.596934887392918
"DIVINOPOLIS DO TOCANTINS",1707108,394830,12,1,0,3,2,0,0.617177012891624
"DIVISA NOVA",3122405,217441.3,3,1,0,2,2,0,0.705937648459607
"DOBRADA",3514007,634468.77,13,1,0,5,3,0,0.914347242024221
"DOIS CORREGOS",3514106,352050.2,5,1,0,2,2,0,0.625497414857313
"DOIS IRMAOS",4306403,2060333.39,23,1,0,3,3,1,0.767354806592733
"DOIS IRMAOS DAS MISSOES",4306429,530155.6,11,1,0,5,5,0,0.699870000430062
"DOIS IRMAOS DO BURITI",5003488,445320,3,1,0,3,3,0,0.538938291565616
"DOIS IRMAOS DO TOCANTINS",1707207,200300,3,1,0,1,1,0,1
"DOIS LAJEADOS",4306452,991621.81,11,1,0,6,6,0,0.409430284717114
"DOIS VIZINHOS",4107207,1409340.06,24,1,0,12,12,0,0.178683865695267
"DOM BASILIO",2910107,37028,1,1,0,1,1,0,1
"DOM BOSCO",3122470,371026,7,1,0,3,3,0,0.852096618565815
"DOM CAVATI",3122504,270500,7,1,0,3,3,0,0.506469500924214
"DOM ELISEU",1502939,3928585.48,25,1,0,4,4,1,0.772231083030934
"DOM EXPEDITO LOPES",2203404,144450,2,1,0,1,1,0,1
"DOM FELICIANO",4306502,121850,2,1,0,2,2,0,0.796471070988921
"DOM INOCENCIO",2203453,414999.85,3,1,0,1,1,0,1
"DOM MACEDO COSTA",2910206,70457.98,1,1,0,1,1,0,1
"DOM PEDRO",2103802,1314921.79,2,1,0,1,1,1,1
"DOM SILVERIO",3122702,313500,4,1,0,4,4,0,0.451355661881978
"DOMINGOS MARTINS",3201902,1560180,10,1,0,5,5,0,0.313361278826802
"DONA EMMA",4205100,882934.51,8,1,0,6,6,0,0.509437557265714
"DONA EUSEBIA",3122900,85271.72,1,0,1,1,1,0,1
"DONA FRANCISCA",4306700,288000,1,1,0,1,1,0,1
"DORES DE CAMPOS",3123007,104939.61,2,1,0,1,1,0,1
"DORES DO INDAIA",3123205,435402.46,3,1,0,3,3,0,0.475422210522191
"DORES DO RIO PRETO",3202009,387900,2,1,0,2,2,0,0.757927300850735
"DORES DO TURVO",3123304,30495.67,1,1,0,1,1,0,1
"DORESOPOLIS",3123403,483505.19,5,1,0,2,2,0,0.563603443429428
"DORMENTES",2605152,999362.32,19,1,0,2,2,0,0.704671675033736
"DOURADINA",4107256,539360,3,1,0,3,2,0,0.793533076238505
"DOURADINA",5003504,380758.77,2,1,0,2,2,0,0.698605051171901
"DOURADO",3514304,222500,4,1,0,2,1,0,0.979775280898876
"DOURADOQUARA",3123502,444800,12,1,0,5,4,0,0.726169064748201
"DOURADOS",5003702,1504397.29,21,1,0,7,7,0,0.35495942697424
"DOUTOR CAMARGO",4107306,406866.32,15,1,0,5,4,0,0.390791747028852
"DOUTOR MAURICIO CARDOSO",4306734,475896.93,61,0.97291707681325,0.0270829231867497,16,8,0,0.386638342046039
"DOUTOR PEDRINHO",4205159,316052.34,4,1,0,3,3,0,0.537885591987707
"DOUTOR RICARDO",4306759,526236.04,13,1,0,2,2,0,0.61234126039714
"DOUTOR SEVERIANO",2403202,217145.93,6,1,0,1,1,0,1
"DOUTOR ULYSSES",4128633,15836.13,1,1,0,1,1,0,1
"DOVERLANDIA",5207253,503000,5,1,0,2,2,0,0.755467196819085
"DRACENA",3514403,424078.19,3,1,0,1,1,0,1
"DUARTINA",3514502,692424.21,11,1,0,2,2,0,0.753861003791303
"DUAS BARRAS",3301603,2178250,15,1,0,4,4,0,0.436589004935154
"DUMONT",3514601,260033.83,2,1,0,2,2,0,0.526327593605801
"DUQUE BACELAR",2103901,297705.66,2,1,0,1,1,0,1
"DUQUE DE CAXIAS",3301702,3322875.04,23,1,0,3,3,2,0.664149874260694
"DURANDE",3123528,628571.2,4,1,0,2,2,0,0.766264601368946
"EDEALINA",5207352,551545.84,5,1,0,5,5,0,0.543925777773974
"EDEIA",5207402,750620.28,8,1,0,3,3,0,0.452958718354905
"ELDORADO",3514809,495357.31,14,1,0,11,5,0,0.325017914846154
"ELDORADO",5003751,291837.39,3,1,0,3,3,0,0.853214867361581
"ELDORADO DO SUL",4306767,358075.93,5,1,0,1,1,0,1
"ELESBAO VELOSO",2203503,615614.12,10,0.951503012958832,0.0484969870411679,3,3,0,0.847742754828301
"ELISEU MARTINS",2203602,104693.88,1,1,0,1,1,0,1
"ELISIARIO",3514924,86760,2,1,0,2,1,0,0.892116182572614
"ELISIO MEDRADO",2910305,123155.78,2,1,0,1,1,0,1
"ELOI MENDES",3123601,2270.31,1,1,0,1,0,0,1
"EMAS",2505907,145391.78,2,1,0,1,1,0,1
"EMBU",3515004,610500.79,16,0.988025486420747,0.0119745135792535,9,5,0,0.39377508422225
"EMBU-GUACU",3515103,320997.67,2,1,0,1,1,0,1
"ENCANTADO",4306809,250617.64,5,1,0,4,1,0,0.937683396906938
"ENCANTO",2403301,758738.33,9,1,0,2,2,0,0.574695732058245
"ENCRUZILHADA DO SUL",4306908,218000,2,1,0,1,1,0,1
"ENEAS MARQUES",4107405,153089.88,6,1,0,1,1,0,1
"ENGENHEIRO BELTRAO",4107504,199429.03,11,1,0,8,4,0,0.53801470126992
"ENGENHEIRO CALDAS",3123700,209100.27,1,1,0,1,1,0,1
"ENGENHEIRO COELHO",3515152,273942.34,1,1,0,1,1,0,1
"ENGENHEIRO NAVARRO",3123809,89949,2,1,0,2,2,0,0.637583519549967
"ENGENHO VELHO",4306924,159300,1,1,0,1,1,0,1
"ENTRE FOLHAS",3123858,133000,6,1,0,1,1,0,1
"ENTRE RIOS",4205175,2119840.94,24,1,0,4,4,1,0.693448254660088
"ENTRE RIOS DE MINAS",3123908,290815.22,2,1,0,2,2,0,0.716950096353279
"ENTRE RIOS DO OESTE",4107538,390611.57,3,1,0,2,2,0,0.844317028294886
"ENTRE RIOS DO SUL",4306957,828800,3,1,0,3,3,0,0.402992277992278
"ENTRE-IJUIS",4306932,1717085.16,51,1,0,13,13,0,0.295850236105937
"EPITACIOLANDIA",1200252,1843741.75,17,1,0,8,8,0,0.260096079073981
"EQUADOR",2403400,151994.25,2,1,0,1,1,0,1
"ERECHIM",4307005,1248572.86,26,1,0,12,8,0,0.268306328554987
"ERMO",4205191,154265,5,1,0,5,3,0,0.703659287589537
"ERNESTINA",4307054,821151.94,19,1,0,7,7,0,0.544018528410223
"ERVAL GRANDE",4307203,663821.44,24,1,0,5,5,0,0.453133902996565
"ERVAL SECO",4307302,624251.37,12,1,0,5,5,0,0.392652033747239
"ERVAL VELHO",4205209,163893,4,1,0,1,1,0,1
"ERVALIA",3124005,348637.75,6,1,0,3,3,0,0.538668001385392
"ESMERALDA",4307401,458548,6,1,0,4,4,0,0.791079668867818
"ESMERALDAS",3124104,94738.72,1,1,0,1,1,0,1
"ESPERA FELIZ",3124203,729860.43,11,1,0,5,5,0,0.449086450679344
"ESPERANCA",2506004,804194.35,5,1,0,4,4,0,0.522261813950819
"ESPERANCA DO SUL",4307450,1439940.71,20,1,0,9,8,0,0.229870575712801
"ESPIGAO ALTO DO IGUACU",4107546,1034845.72,15,1,0,6,6,0,0.558073806402755
"ESPIGAO D'OESTE",1100098,2906457.08,32,1,0,15,15,0,0.188737206468571
"ESPIRITO SANTO",2403509,153633.12,3,1,0,1,1,0,1
"ESPIRITO SANTO DO PINHAL",3515186,18478.24,2,1,0,1,1,0,1
"ESPUMOSO",4307500,941504.31,11,1,0,3,3,0,0.502489446915012
"ESTACAO",4307559,603453.64,13,1,0,8,5,0,0.383625161329709
"ESTANCIA",2802106,458399.74,6,1,0,2,2,0,0.654400458429579
"ESTANCIA VELHA",4307609,85323.62,2,1,0,1,1,0,1
"ESTEIO",4307708,257663.21,3,1,0,1,1,0,1
"ESTIVA",3124500,223000,1,1,0,1,1,0,1
"ESTREITO",2104057,252210.84,3,1,0,2,2,0,0.579465735889861
"ESTRELA",4307807,334011.36,3,1,0,3,3,0,0.410798542899858
"ESTRELA D'OESTE",3515202,253631.61,1,1,0,1,1,0,1
"ESTRELA DE ALAGOAS",2702553,190322.24,2,1,0,1,1,0,1
"ESTRELA DO NORTE",3515301,278900,2,1,0,2,2,0,0.570096808892076
"ESTRELA DO NORTE",5207501,359620,9,1,0,2,2,0,0.693787887214282
"ESTRELA DO SUL",3124807,102249,3,1,0,2,2,0,0.7921837866385
"ESTRELA VELHA",4307815,824437.64,14,1,0,3,3,0,0.460920246193514
"EUCLIDES DA CUNHA",2910701,296181.22,5,1,0,1,1,0,1
"EUGENIO DE CASTRO",4307831,137680,4,1,0,4,4,0,0.48445671121441
"EUNAPOLIS",2910727,378912.19,3,1,0,1,1,0,1
"EXTREMOZ",2403608,449307.59,12,1,0,3,3,0,0.603911698887615
"EXU",2605301,152910.45,3,1,0,1,1,0,1
"FAGUNDES",2506103,415229.13,5,1,0,3,3,0,0.437443201540316
"FAGUNDES VARELA",4307864,209560,10,1,0,6,5,0,0.459677419354839
"FAINA",5207535,188843.9,3,1,0,3,3,0,0.488263322246575
"FARIAS BRITO",2304301,877383.92,8,1,0,3,3,0,0.478947528466216
"FAROL",4107553,147210,4,1,0,2,2,0,0.564160043475307
"FARROUPILHA",4307906,1649457.41,18,1,0,6,6,0,0.407364843691235
"FATIMA",1707553,85687.08,1,1,0,1,1,0,1
"FATIMA DO SUL",5003801,1372116.29,14,1,0,6,6,0,0.48377025681985
"FAXINAL",4107603,619990.91,5,1,0,3,3,0,0.528233551037063
"FAXINAL DO SOTURNO",4308003,405956.07,10,1,0,5,4,0,0.746964468347523
"FAXINAL DOS GUEDES",4205308,249689.6,3,1,0,1,1,0,1
"FAXINALZINHO",4308052,916770.29,8,1,0,3,3,0,0.593939764343803
"FAZENDA NOVA",5207600,225762.5,2,1,0,1,1,0,1
"FAZENDA RIO GRANDE",4107652,156000,1,1,0,1,1,0,1
"FAZENDA VILANOVA",4308078,113307.93,5,1,0,4,2,0,0.705149233597331
"FEIRA DE SANTANA",2910800,10480310.79,64,0.997423740522489,0.00257625947751116,17,17,2,0.493889852478316
"FEIRA GRANDE",2702603,97620.32,1,1,0,1,1,0,1
"FELICIO DOS SANTOS",3125408,510479,5,1,0,4,4,0,0.624903277118158
"FELISBURGO",3125606,235373.79,3,1,0,1,1,0,1
"FELIZ",4308102,625752.06,5,1,0,1,1,0,1
"FELIZ NATAL",5103700,152087.78,3,1,0,1,1,0,1
"FENIX",4107702,21177.63,1,1,0,1,1,0,1
"FERNANDES PINHEIRO",4107736,138858.33,5,1,0,5,2,0,0.7147572637522
"FERNANDO FALCAO",2104081,160935.59,1,1,0,1,1,0,1
"FERNANDO PRESTES",3515608,150000,3,1,0,2,2,0,0.920666666666667
"FERNANDOPOLIS",3515509,525594.1,4,1,0,2,2,0,0.545848459866654
"FERREIROS",2605509,165804.5,48,0.723559975754578,0.276440024245422,20,5,0,0.215313818382493
"FERROS",3125903,196546.18,1,1,0,1,1,0,1
"FERVEDOURO",3125952,203012.78,3,1,0,3,3,0,0.670893724030576
"FIGUEIRA",4107751,888947,10,1,0,7,6,0,0.426347127556536
"FIGUEIRAO",5003900,432240,4,1,0,3,3,0,0.589950027762354
"FIGUEIROPOLIS",1707652,453511.8,6,0.966924785639536,0.0330752143604643,3,3,0,0.523911395469754
"FILADELFIA",1707702,700936.28,6,1,0,3,3,0,0.712346320552847
