"origem","NM_ORGAO_SUPERIOR","zscore","total","media"
1100205,"MINISTERIO DA INTEGRACAO NACIONAL",-0.128035436649502,27509,31700
1100205,"MINISTERIO DA JUSTICA",0.0590558612640829,115701,108425.571428571
1100205,"MINISTERIO DA SAUDE",0.573113479705119,207065,153966.25
1100205,"MINISTERIO DAS CIDADES",-1.08092992834658,21011,56895.7
1100205,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",-0.566516668862566,20104,36928.1428571429
1100205,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.48686941077555,296378,152864
1100205,"MINISTERIO DO ESPORTE",-0.875310654930207,2334,66619.8181818182
1100205,"MINISTERIO DO TRABALHO E EMPREGO",0.610101827821609,29392,17325.75
1100205,"MINISTERIO DO TURISMO",0.924981887268899,56244,31401.3
1100205,"Presidencia da República",-0.804335285260012,28488,68008.8571428571
1100254,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.972647664570708,1373,16484
1100254,"MINISTERIO DA DEFESA",1,151964,151964
1100254,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",0.776273148657687,15588,11358
1100254,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.05850062043307,14723,8602.75
1100254,"MINISTERIO DO ESPORTE",-0.747788112580294,9983,19661.5
1100254,"MINISTERIO DO TURISMO",1.29001031970381,23988,14191.5
1100262,"MINISTERIO DA DEFESA",1,41150,41150
1100288,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.94563584499366,72945,28165.5714285714
1100288,"MINISTERIO DA CULTURA",-0.870971800160063,7515,11203.25
1100288,"MINISTERIO DA DEFESA",0.707106781186547,191926,156129
1100288,"MINISTERIO DA SAUDE",-0.336302363580546,20186,25922.1428571429
1100288,"MINISTERIO DAS CIDADES",-0.951422004628159,19997,49168.125
1100288,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.165104712929117,17129,20309.1666666667
1100288,"MINISTERIO DO ESPORTE",0.657540190195939,63895,43892.75
1100296,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.268973765114048,22314,26100.1111111111
1100296,"MINISTERIO DA DEFESA",1,277177,277177
1100296,"MINISTERIO DA INTEGRACAO NACIONAL",-0.707106781186548,2,2787.5
1100296,"MINISTERIO DA SAUDE",0.971241229357466,20180,16287.6666666667
1100296,"MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME",-0.707106781186548,13277,14432.5
1100296,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.325088678123888,20623,24162.5
1100296,"MINISTERIO DO ESPORTE",0.707106781186548,15588,13002
1100296,"MINISTERIO DO TURISMO",0.707106781186547,12216,10925.5
1100304,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.517455145737468,13048,39621.5
1100304,"MINISTERIO DA CULTURA",-0.208238700218522,19623,22342.25
1100304,"MINISTERIO DA DEFESA",1,92847,92847
1100304,"MINISTERIO DAS CIDADES",-0.85470810073604,9983,46702
1100304,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.707106781186547,9062,9522.5
1100320,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.24043736101193,53575,25979.8571428571
1100320,"MINISTERIO DA CULTURA",1,8818,8818
1100320,"MINISTERIO DA DEFESA",1,336216,336216
1100320,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.227418293653681,21006,19703.4
1100320,"MINISTERIO DO ESPORTE",0.34817580245784,31443,25976.25
1100338,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.427064628649235,21818,36712.4
1100338,"MINISTERIO DA DEFESA",-0.839195237589918,67703,100280.25
1100338,"MINISTERIO DA SAUDE",-0.954181952645525,2450,38833.25
1100338,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.993265840750537,29642,19065
1100346,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.900865884994974,5010,24732.375
1100346,"MINISTERIO DA DEFESA",0.274783383853014,148118,128801.8
1100346,"MINISTERIO DA SAUDE",-0.761124306543212,11645,15087.875
1100346,"MINISTERIO DO ESPORTE",0.67367434809658,34940,26949.25
1100379,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.401186337754132,10545,15210.6
1100379,"MINISTERIO DA DEFESA",1.00862531420965,210754,137606.666666667
1100379,"MINISTERIO DO ESPORTE",-0.306734406489908,16779,22096.5
1100403,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",-0.606399909732341,6110,15120.7777777778
1100403,"MINISTERIO DA DEFESA",1,60426,60426
1100403,"MINISTERIO DA SAUDE",1.15470053837925,16470,12145.3333333333
1100403,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",-0.620270366512695,2505,13678.6666666667
1100403,"MINISTERIO DO ESPORTE",0.866025403784439,16184,12909.5
1100403,"MINISTERIO DO TURISMO",-0.860546534885368,11317,22756.75
1100452,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.70876142639629,31713,12936
1100452,"MINISTERIO DA DEFESA",0.0331436796467775,142871,138819.4
1100452,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",1.06565096115649,17054,14322.6666666667
1100452,"MINISTERIO DO ESPORTE",0.944937628630093,16184,13336.75
1100502,"MINISTÉRIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",1.75627065645514,52020,20587.3333333333
1100502,"MINISTERIO DA DEFESA",1,111482,111482
1100502,"MINISTERIO DA SAUDE",0.602124265026322,19257,13024
1100502,"MINISTERIO DO DESENVOLVIMENTO AGRARIO",0.707106781186547,27148,17275
1100601,"MINISTERIO DA CULTURA",1,2505,2505
1100601,"MINISTERIO DA DEFESA",0.707106781186548,84181,53041
1100700,"MINISTERIO DA DEFESA",1.28324836961527,144576,100826
