"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
3154150,3204500,5207535,4121257,1101807,5007554,1101476,"Primavera de Rondônia RO","Reduto MG","Santa Leopoldina ES","Faina GO"
2411429,2802502,1720002,2608057,2407609,2312502,1101484,"São Felipe D'Oeste RO","Santana do Seridó RN","General Maynard SE","Santa Terezinha do Tocantins TO"
2911204,4111258,1100452,4104428,1101203,5005152,1101492,"São Francisco do Guaporé RO","Gandu BA","Itaperuçu PR","Buritis RO"
4121703,3157906,1501253,1101807,4110078,4117800,1101500,"Seringueiras RO","Reserva PR","Santa Margarida MG","Bannach PA"
3154903,3125705,5005806,4311734,4314175,3104403,1101559,"Teixeirópolis RO","Rio Casca MG","Felixlândia MG","Nioaque MS"
4110201,1101005,1101757,1100072,5005608,1101708,1101609,"Theobroma RO","Inácio Martins PR","Governador Jorge Teixeira RO","Vale do Anari RO"
3150158,4110201,1101609,1504059,1600402,1600154,1101708,"Urupá RO","Piedade de Caratinga MG","Inácio Martins PR","Theobroma RO"
1101005,1101609,1100072,4110201,5005608,2912806,1101757,"Vale do Anari RO","Governador Jorge Teixeira RO","Theobroma RO","Corumbiara RO"
1501253,3157906,1101500,4219150,1507755,3159357,1101807,"Vale do Paraíso RO","Bannach PA","Santa Margarida MG","Seringueiras RO"
1400282,5006358,2605400,3166501,3101003,3121704,1200013,"Acrelândia AC","Iracema RR","Paranhos MS","Feira Nova PE"
2203420,2611408,2508406,2902252,3133303,2203859,1200054,"Assis Brasil AC","Domingos Mourão PI","Primavera PE","Lastro PB"
1101435,2921104,2206506,1600402,2915502,1504059,1200104,"Brasiléia AC","Nova União RO","Medeiros Neto BA","Monsenhor Hipólito PI"
2513943,2207751,1508050,1100379,1200807,3163003,1200138,"Bujari AC","São Domingos do Cariri PB","Passagem Franca do Piauí PI","Trairão PA"
1710904,4105201,2922102,3100609,3135506,1721307,1200179,"Capixaba AC","Itapiratins TO","Cerro Azul PR","Mundo Novo BA"
2930105,2400208,2313401,2101202,2301109,2917508,1200203,"Cruzeiro do Sul AC","Senhor do Bonfim BA","Açu RN","Tianguá CE"
5108352,5007976,1100031,2800605,1100346,4202438,1200252,"Epitaciolândia AC","Vale de São Domingos MT","Taquarussu MS","Cabixi RO"
1200609,2804508,2514503,2205201,2501104,2608008,1200302,"Feijó AC","Tarauacá AC","Nossa Senhora da Glória SE","São José de Piranhas PB"
2918209,2931806,2800506,2911808,1300201,2613206,1200328,"Jordão AC","Jiquiriçá BA","Tremedal BA","Areia Branca SE"
2311231,2913200,2111052,2304277,2107456,2919900,1200336,"Mâncio Lima AC","Potiretama CE","Ibotirama BA","São João do Paraíso MA"
1501576,1100379,1200807,1508050,2919702,2513943,1200344,"Manoel Urbano AC","Bom Jesus do Tocantins PA","Alto Alegre dos Parecis RO","Porto Acre AC"
2208304,2903409,2700201,2900405,2504157,2507101,1200351,"Marechal Thaumaturgo AC","Piracuruca PI","Belmonte BA","Anadia AL"
2112001,2205540,2516805,2904308,2923308,2201002,1200385,"Plácido de Castro AC","Tasso Fragoso MA","Lagoinha do Piauí PI","Triunfo PB"
2509206,2504033,2201739,2507200,2104651,2103174,1200393,"Porto Walter AC","Massaranduba PB","Capim PB","Betânia do Piauí PI"
2905701,2931350,2800308,2914802,2611101,5103403,1200401,"Rio Branco AC","Camaçari BA","Teixeira de Freitas BA","Aracaju SE"
2105906,2202455,2802700,2923035,2311702,2106375,1200427,"Rodrigues Alves AC","Lago Verde MA","Capitão Gervásio Oliveira PI","Ilha das Flores SE"
2202729,2913457,2705804,1503044,2912905,2801405,1200435,"Santa Rosa do Purus AC","Cocal dos Alves PI","Igrapiúna BA","Olho D'Água do Casado AL"
2918902,5004601,4104428,1101401,4111258,5005152,1200450,"Senador Guiomard AC","Lajedão BA","Itaquiraí MS","Candói PR"
2901007,2928802,3143450,3101003,3104700,3164506,1200500,"Sena Madureira AC","Amargosa BA","Santo Estêvão BA","Montezuma MG"
2804508,1200302,2501104,2608008,2931509,2917607,1200609,"Tarauacá AC","Nossa Senhora da Glória SE","Feijó AC","Areia PB"
1100338,2802304,3161601,3148608,4311122,2905602,1200708,"Xapuri AC","Nova Mamoré RO","Frei Paulo SE","São Geraldo da Piedade MG"
1100379,1501576,2919702,2926657,1200138,2513901,1200807,"Porto Acre AC","Alto Alegre dos Parecis RO","Bom Jesus do Tocantins PA","Macarani BA"
2202539,3162450,2206357,2924207,3144656,2908705,1300029,"Alvarães AM","Caraúbas do Piauí PI","São João das Missões MG","Milton Brandão PI"
2800407,2111805,2926202,2313203,2201176,2108454,1300060,"Amaturá AM","Arauá SE","Sítio Novo MA","Riachão das Neves BA"
2911105,1713957,1718303,2913101,2612802,2304509,1300086,"Anamã AM","Formosa do Rio Preto BA","Muricilândia TO","Praia Norte TO"
2105963,2506251,2701506,2507101,2103554,3126950,1300102,"Anori AM","Lagoa Grande do Maranhão MA","Gado Bravo PB","Campo Grande AL"
1714880,2400802,2410504,3150539,2905008,2206001,1300144,"Apuí AM","Nova Olinda TO","Angicos RN","Rafael Fernandes RN"
2911808,2918209,2800506,2917201,1507805,1506195,1300201,"Atalaia do Norte AM","Guaratinga BA","Jiquiriçá BA","Areia Branca SE"
2906709,1302900,2600609,2512507,3150570,2600708,1300300,"Autazes AM","Cândido Sales BA","Maués AM","Alagoinha PE"
1303809,2611705,2615607,2925501,2904803,1502301,1300409,"Barcelos AM","São Gabriel da Cachoeira AM","Riacho das Almas PE","Trindade PE"
2303931,2930758,2308377,2609709,2310803,3147956,1300508,"Barreirinha AM","Choró CE","Sítio do Mato BA","Miraíma CE"
2110278,2301307,2907103,2102101,2609006,2102507,1300607,"Benjamin Constant AM","Santo Amaro do Maranhão MA","Araripe CE","Carinhanha BA"
2207553,2703304,2602308,2929701,2704401,1301506,1300631,"Beruri AM","Paquetá PI","Inhapi AL","Bonito PE"
2305266,2107258,2100709,2910776,2109270,2904852,1300680,"Boa Vista do Ramos AM","Ibaretama CE","Nova Colinas MA","Anajatuba MA"
2703205,1505205,2805406,2931004,2918753,2708105,1300706,"Boca do Acre AM","Igreja Nova AL","Oeiras do Pará PA","Poço Redondo SE"
1302801,2610202,2709202,2917003,1507201,1506203,1300805,"Borba AM","Maraã AM","Panelas PE","Traipu AL"
2208650,2929404,2707602,2413904,2210623,1301654,1300839,"Caapiranga AM","Queimada Nova PI","São Miguel das Matas BA","Quebrangulo AL"
2501500,2208502,1507474,2203859,2708105,3137007,1300904,"Canutama AM","Bananeiras PB","Porto PI","São João de Pirabas PA"
2903607,2501302,2505105,2614709,2603801,2401453,1301001,"Carauari AM","Biritinga BA","Aroeiras PB","Cuité PB"
2905909,2112456,2913804,1303700,2105476,1304237,1301100,"Careiro AM","Campo Alegre de Lourdes BA","Turilândia MA","Ipecaetá BA"
2207504,2210409,2913804,2202174,1702208,1303700,1301159,"Careiro da Várzea AM","Palmeirais PI","São Miguel do Tapuio PI","Ipecaetá BA"
1506187,1504703,1301704,2609907,1200344,2905602,1301209,"Coari AM","Rondon do Pará PA","Moju PA","Humaitá AM"
2703106,1501600,2910008,2202505,1303205,2606507,1301308,"Codajás AM","Igaci AL","Bonito PA","Dário Meira BA"
2501005,1301001,2903953,2700409,2913705,2501302,1301407,"Eirunepé AM","Araruna PB","Carauari AM","Bom Jesus da Serra BA"
2931202,2805505,2704401,2703304,2608602,2912707,1301506,"Envira AM","Taperoá BA","Poço Verde SE","Major Isidoro AL"
2610806,2100154,2516508,2107902,2104651,2915353,1301605,"Fonte Boa AM","Pedra PE","Água Doce do Maranhão MA","Taperoá PB"
2702504,2208650,2703809,1303569,3143153,1504950,1301654,"Guajará AM","Dois Riachos AL","Queimada Nova PI","Joaquim Gomes AL"
2906907,2922102,3166303,2801009,1508159,1200179,1301704,"Humaitá AM","Caravelas BA","Mundo Novo BA","Sericita MG"
1506005,2805802,1500305,2919603,2611309,3162401,1301803,"Ipixuna AM","Prainha PA","Riachão do Dantas SE","Afuá PA"
2906303,1500347,5004809,1508001,2500304,1500859,1301852,"Iranduba AM","Canavieiras BA","Água Azul do Norte PA","Japorã MS"
2904605,2928802,1500107,2914505,2929503,5219803,1301902,"Itacoatiara AM","Brumado BA","Santo Estêvão BA","Abaetetuba PA"
1502509,1500859,1507458,2804102,3156007,1506583,1301951,"Itamarati AM","Chaves PA","Anapu PA","São Geraldo do Araguaia PA"
2410603,3123809,1701101,2101103,5204953,2307205,1302009,"Itapiranga AM","Rafael Godeiro RN","Engenheiro Navarro MG","Aparecida do Rio Negro TO"
3132305,2919959,1712405,2926657,2925501,2204402,1302108,"Japurá AM","Itaipé MG","Maetinga BA","Lizarda TO"
2701100,2925758,2909208,2608701,2931509,2929370,1302207,"Juruá AM","Branquinha AL","Presidente Tancredo Neves BA","Coronel João Sá BA"
2901205,2707404,2933059,1503077,2612000,1503457,1302306,"Jutaí AM","Anagé BA","Porto de Pedras AL","Várzea da Roça BA"
2924405,2602308,2902104,2703304,1300631,1503705,1302405,"Lábrea AM","Pilão Arcado BA","Bonito PE","Araci BA"
1501808,2601102,2613008,2706307,1505809,1301852,1302504,"Manacapuru AM","Breves PA","Araripina PE","São Bento do Una PE"
2604155,2111250,2107100,2112274,1504406,2909406,1302553,"Manaquiri AM","Casinhas PE","São José dos Basílios MA","Morros MA"
2927408,2304400,3300456,1501402,3304557,3106200,1302603,"Manaus AM","Salvador BA","Fortaleza CE","Belford Roxo RJ"
2921500,2100956,1507607,2613107,1304104,1200609,1302702,"Manicoré AM","Monte Santo BA","Arame MA","São Miguel do Guamá PA"
1300805,2707107,2210623,2405900,2413904,2205409,1302801,"Maraã AM","Borba AM","Piranhas AL","Sebastião Barros PI"
2600708,1300300,2906709,2512507,3146305,2908101,1302900,"Maués AM","Aliança PE","Autazes AM","Cândido Sales BA"
2205854,2106409,2929107,1502855,2303006,2100477,1303007,"Nhamundá AM","Madeiro PI","Mata Roma MA","São Felipe BA"
1500958,1508035,2803203,1502004,1507201,2504900,1303106,"Nova Olinda do Norte AM","Aurora do Pará PA","Tracuateua PA","Itaporanga D'Ajuda SE"
2202505,1501600,3143153,2910008,2702504,1504950,1303205,"Novo Airão AM","Caracol PI","Bonito PA","Monte Formoso MG"
2209658,2615805,1503507,2919108,2511202,2207793,1303304,"Novo Aripuanã AM","São Francisco de Assis do Piauí PI","Tupanatinga PE","Irituia PA"
1506500,2806701,2307700,1502202,1501501,2608909,1303403,"Parintins AM","Santa Isabel do Pará PA","São Cristóvão SE","Maranguape CE"
3145356,1502954,2904803,2611705,2613305,1300409,1303502,"Pauini AM","Novo Oriente de Minas MG","Eldorado dos Carajás PA","Caatiba BA"
5106851,3126752,3155207,3157609,2511707,2908309,1303536,"Presidente Figueiredo AM","Porto Estrela MT","Franciscópolis MG","Rio Espera MG"
2923407,2104081,1301654,2911659,2208650,2925956,1303569,"Rio Preto da Eva AM","Palmas de Monte Alto BA","Fernando Falcão MA","Guajará AM"
1503507,2919108,2104081,2209658,2922607,2615805,1303601,"Santa Isabel do Rio Negro AM","Irituia PA","Lamarão BA","Fernando Falcão MA"
2905909,2913804,1301100,2112456,2202174,2211100,1303700,"Santo Antônio do Içá AM","Campo Alegre de Lourdes BA","Ipecaetá BA","Careiro AM"
1300409,1502301,2914000,2615607,1502954,2611705,1303809,"São Gabriel da Cachoeira AM","Barcelos AM","Capitão Poço PA","Ipirá BA"
2106359,2600807,1304237,2909307,1301100,2206696,1303908,"São Paulo de Olivença AM","Marajá do Sena MA","Altinho PE","Tonantins AM"
2406106,2512036,2209856,2101806,2513158,2211506,1303957,"São Sebastião do Uatumã AM","Jucurutu RN","Poço Dantas PB","São João da Canabrava PI"
